Team,FG,FGA,2PA,3P,3PA,DRB,PTS,Pace,ORtg,eFG%,TS%,TOV%
ORL,39.3,88.6,56.4,11.1,32.2,34.2,107.3,98.6,108.5,0.506,0.544,11.5
DAL,38.8,86.9,50.2,12.5,36.6,35.2,108.9,99.0,109.4,0.519,0.555,12.7
MEM,38.0,84.4,55.6,9.9,28.9,33.0,103.5,96.6,106.1,0.508,0.548,12.9
NOP,43.7,92.2,62.4,10.3,29.9,36.2,115.4,103.3,111.4,0.529,0.563,12.6
DAL,36.2,82.3,52.2,10.7,30.2,30.7,97.9,92.2,105.6,0.505,0.541,11.6
DEN,37.7,85.4,61.7,8.0,23.7,33.1,101.9,95.7,105.6,0.489,0.531,13.2
MIL,38.4,82.2,66.6,5.4,15.6,31.2,99.0,94.2,104.3,0.499,0.537,14.2
SAC,40.0,86.4,64.0,8.0,22.4,33.7,106.6,100.0,106.0,0.51,0.546,14.2
CHO,35.5,84.5,65.4,6.1,19.1,34.1,94.2,93.0,100.1,0.456,0.498,11.2
CLE,37.0,84.8,64.8,7.1,20.0,32.1,98.2,93.1,104.2,0.479,0.518,13.0
POR,36.7,81.9,58.7,8.2,23.2,30.2,97.5,91.4,105.8,0.498,0.536,13.9
PHO,37.8,82.5,62.9,6.7,19.6,30.8,98.4,92.6,106.2,0.499,0.536,13.3
SAS,42.2,89.4,61.0,10.7,28.5,35.6,114.1,100.5,112.4,0.531,0.572,11.2
WAS,42.1,90.1,56.8,11.3,33.3,32.7,114.0,101.4,111.1,0.531,0.567,12.3
SAC,37.9,82.1,58.2,9.0,23.9,32.3,102.8,94.9,107.3,0.516,0.556,13.7
NYK,36.9,84.0,62.5,7.4,21.5,34.0,98.4,93.4,104.6,0.483,0.527,12.6
DET,37.1,85.8,60.9,8.6,24.9,32.1,98.5,92.8,105.3,0.482,0.515,12.3
LAC,36.8,80.4,61.9,6.3,18.5,30.5,98.6,92.8,105.3,0.496,0.535,15.1
CHI,42.2,88.6,54.6,12.6,34.0,35.3,110.7,99.0,111.1,0.547,0.575,13.6
NOP,42.5,89.1,58.6,10.6,30.4,35.7,114.6,100.1,113.5,0.537,0.57,12.7
SAC,42.6,88.6,55.3,12.1,33.3,32.0,113.7,100.0,113.6,0.549,0.578,12.0
SAC,40.9,88.4,53.5,12.7,34.9,32.9,110.1,98.9,110.2,0.534,0.566,13.0
MIN,39.5,84.4,63.4,7.3,21.0,31.0,105.6,94.6,110.8,0.511,0.555,12.9
NYK,39.6,88.5,63.8,8.6,24.7,33.2,104.3,96.0,107.7,0.496,0.534,12.4
MIN,35.9,81.7,63.7,5.5,18.0,30.2,95.7,92.8,102.9,0.473,0.516,13.8
MIL,37.9,85.6,66.5,6.6,19.2,30.0,99.0,93.7,105.5,0.481,0.521,12.9
SAC,40.5,88.1,54.9,11.4,33.2,33.4,110.3,99.8,109.9,0.525,0.561,12.5
NOP,42.6,91.6,54.8,13.6,36.9,35.4,115.8,103.7,110.7,0.539,0.568,13.9
NOP,38.5,85.9,62.1,8.6,23.8,33.1,102.7,96.8,105.6,0.498,0.537,12.3
DEN,37.8,87.3,62.5,8.0,24.8,32.4,101.5,96.1,104.5,0.479,0.518,12.7
DET,37.3,81.1,65.7,5.8,15.3,27.3,97.0,89.2,107.7,0.495,0.533,12.5
ATL,41.4,91.8,54.8,13.0,37.0,34.5,113.3,103.9,108.1,0.522,0.555,14.3
NYK,40.7,87.7,64.4,8.2,23.3,33.6,104.5,96.8,107.1,0.51,0.544,13.3
ORL,38.3,87.0,60.9,8.5,26.1,33.3,101.1,96.8,103.7,0.489,0.524,12.1
MIN,37.7,81.3,64.9,5.5,16.4,31.5,102.4,95.2,106.5,0.498,0.549,13.9
SAC,36.7,80.7,64.2,5.6,16.5,33.3,101.3,95.4,105.3,0.49,0.542,14.8
DET,38.8,86.9,67.6,6.2,19.3,30.8,101.0,94.9,105.9,0.482,0.514,12.9
DET,36.3,81.0,63.4,6.3,17.6,30.0,94.9,90.8,103.8,0.487,0.521,14.3
WAS,35.5,81.6,63.4,6.6,18.2,32.3,93.2,92.2,100.2,0.475,0.512,14.2
BRK,38.2,86.8,51.1,12.7,35.7,34.8,106.6,98.9,106.9,0.514,0.551,13.6
PHI,37.7,85.3,55.5,10.1,29.8,33.0,102.4,98.5,103.2,0.501,0.539,14.9
SAC,36.9,82.5,64.5,6.0,18.0,32.4,100.5,94.4,105.7,0.484,0.532,13.9
SAC,37.6,84.2,63.7,7.4,20.5,29.1,100.2,93.6,106.2,0.491,0.532,13.4
POR,36.4,82.1,61.1,7.2,20.9,29.5,97.2,91.2,105.7,0.488,0.531,13.4
CHO,41.3,90.4,57.9,10.7,32.5,33.5,111.0,100.8,109.2,0.516,0.55,12.3
POR,38.5,87.1,50.3,12.7,36.8,32.5,106.2,98.3,107.8,0.515,0.55,13.0
TOR,39.7,88.7,49.3,14.5,39.3,32.1,111.3,99.2,112.0,0.529,0.567,11.9
CHI,38.7,88.8,57.8,11.0,31.1,35.0,102.9,98.3,103.8,0.497,0.529,12.6
SAC,38.8,86.1,62.1,9.0,24.0,31.4,98.8,94.9,103.7,0.502,0.529,12.8
LAL,38.3,85.1,60.3,9.4,24.8,32.0,103.0,98.7,104.2,0.505,0.542,13.7
NOH,36.0,80.4,62.4,6.5,18.0,29.6,94.1,88.5,105.7,0.489,0.528,14.0
LAL,39.3,87.4,61.6,8.9,25.7,32.1,104.6,98.5,106.0,0.501,0.537,13.5
MIN,35.7,82.3,60.8,7.2,21.6,31.7,97.9,93.3,104.3,0.477,0.524,14.0
IND,41.4,89.5,54.1,12.2,35.4,32.6,111.5,98.0,112.6,0.531,0.564,12.7
WAS,41.5,90.9,58.3,12.0,32.6,31.9,114.4,102.7,110.9,0.523,0.562,12.2
ORL,38.8,85.9,56.5,10.3,29.3,32.8,103.4,98.1,105.2,0.512,0.545,13.3
ORL,37.5,82.8,63.3,6.8,19.5,31.8,95.7,93.8,101.6,0.494,0.524,14.0
BOS,36.5,83.9,62.9,7.0,21.1,30.5,96.2,93.3,102.9,0.477,0.517,14.2
UTA,36.0,81.1,61.9,6.6,19.2,30.2,95.0,91.4,103.5,0.484,0.523,13.9
PHO,37.3,84.4,66.6,5.9,17.7,29.9,95.2,93.4,101.2,0.477,0.512,14.3
DET,34.7,79.3,65.4,4.8,13.9,28.5,90.9,89.2,101.0,0.468,0.51,15.0
OKC,38.3,89.1,51.8,12.1,37.4,35.2,103.7,98.5,104.6,0.497,0.53,12.5
ATL,38.2,85.5,54.5,11.2,31.0,32.8,103.4,98.3,105.0,0.512,0.547,14.1
DAL,38.1,85.9,53.1,11.8,32.8,33.1,102.3,95.6,106.3,0.513,0.544,11.6
PHO,39.9,88.5,65.9,7.5,22.6,33.1,107.7,100.3,106.6,0.493,0.538,13.4
CLE,36.5,84.2,64.9,6.7,19.3,28.8,96.5,92.3,104.3,0.473,0.514,13.0
NJN,35.6,81.0,64.6,5.6,16.3,29.8,94.2,89.9,103.1,0.474,0.517,13.4
SAC,38.2,85.1,69.5,5.2,15.6,30.8,99.4,95.2,103.5,0.48,0.519,14.4
DET,38.2,88.6,54.0,11.3,34.6,32.0,104.8,98.4,106.0,0.494,0.533,12.6
MIN,40.7,90.9,53.3,13.1,37.6,33.0,112.1,101.6,109.5,0.52,0.555,12.4
CHO,37.3,85.9,51.6,12.1,34.3,31.8,102.9,95.8,106.3,0.504,0.539,13.3
PHO,37.2,85.6,59.8,9.0,25.8,33.3,100.9,98.5,102.2,0.487,0.526,15.2
ORL,36.9,82.7,63.3,6.9,19.5,32.4,96.5,93.6,101.7,0.487,0.525,13.9
GSW,37.7,82.5,62.0,7.9,20.5,29.5,97.8,92.3,105.4,0.505,0.539,13.3
TOR,34.4,78.1,61.8,5.5,16.3,31.4,90.7,89.3,100.8,0.475,0.518,14.8
WAS,37.2,84.0,69.6,4.8,14.4,29.0,97.3,93.8,102.4,0.471,0.513,13.9
HOU,40.6,88.9,56.9,10.4,31.9,32.9,110.7,99.0,111.4,0.516,0.554,14.0
SAS,43.1,92.6,60.4,11.1,32.2,31.9,113.0,101.6,110.2,0.525,0.554,13.0
ORL,38.3,88.3,51.4,12.2,36.9,35.2,104.2,99.2,104.5,0.503,0.538,13.0
CLE,38.6,85.8,56.0,10.0,29.7,32.3,103.8,97.3,105.8,0.508,0.543,13.9
OKC,38.8,88.0,52.9,11.9,35.1,35.7,105.0,101.0,103.5,0.509,0.539,14.2
CHI,39.6,88.6,53.5,12.2,35.1,31.4,106.8,99.7,106.7,0.515,0.547,13.7
CHI,39.8,87.9,62.0,9.1,25.9,34.1,104.9,99.0,104.8,0.505,0.541,12.7
MEM,36.7,82.8,56.5,9.2,26.2,31.0,99.3,94.9,104.5,0.5,0.539,14.0
NJN,34.3,80.6,58.2,7.7,22.4,28.5,93.1,90.1,102.9,0.473,0.516,14.3
SAC,37.7,86.5,66.8,6.2,19.7,29.5,98.8,94.7,103.8,0.472,0.51,13.0
TOR,38.3,82.4,69.1,4.2,13.3,28.6,99.1,92.9,106.1,0.491,0.533,13.7
ORL,38.3,89.2,57.4,10.9,31.8,35.1,104.0,98.7,105.1,0.49,0.527,11.5
NYK,40.0,89.3,61.0,9.6,28.4,34.5,105.8,98.6,106.5,0.501,0.531,12.6
PHO,38.5,87.1,59.2,9.3,27.9,33.9,103.9,100.3,103.5,0.495,0.532,13.9
BRK,38.2,84.4,66.0,6.5,18.4,31.9,98.6,95.2,103.2,0.492,0.527,13.6
LAL,37.2,85.6,66.8,6.5,18.9,32.3,98.5,94.0,103.4,0.473,0.513,12.1
CHA,34.4,81.1,64.0,5.7,17.1,29.1,93.4,91.5,101.5,0.46,0.507,13.2
CLE,34.3,81.2,61.9,6.7,19.3,29.5,93.0,91.3,101.1,0.463,0.505,14.3
NOH,34.8,77.3,65.5,3.9,11.8,30.2,89.6,88.3,100.9,0.476,0.517,15.2
HOU,39.4,86.4,47.7,13.5,38.7,32.4,109.7,100.9,108.4,0.534,0.565,14.5
DET,38.7,85.6,52.7,11.6,32.9,33.1,106.6,97.9,108.0,0.519,0.556,13.5
ATL,40.6,90.6,54.5,12.0,36.1,33.4,111.8,103.0,107.2,0.515,0.554,13.8
DET,39.3,85.7,53.0,12.0,32.7,32.0,107.2,97.6,109.0,0.529,0.561,13.8
BRK,37.8,85.2,53.6,10.7,31.6,35.1,105.8,101.3,104.1,0.507,0.551,14.7
ORL,37.7,84.2,65.5,6.2,18.7,31.9,94.1,92.2,101.6,0.485,0.514,13.7
WAS,36.6,83.0,66.7,5.2,16.3,29.9,93.6,92.5,101.0,0.472,0.508,14.2
CLE,40.3,87.9,56.1,11.2,31.8,33.4,106.9,98.7,107.5,0.522,0.553,14.6
MIN,40.4,91.6,52.0,13.3,39.7,34.3,113.3,103.4,108.1,0.514,0.551,13.0
CLE,38.9,87.6,58.5,10.3,29.1,31.9,104.5,96.6,107.7,0.503,0.54,12.2
PHO,40.1,87.4,58.1,9.6,29.3,31.3,107.5,100.5,105.9,0.514,0.552,13.8
PHI,37.9,87.2,64.7,7.0,22.5,31.2,99.5,99.2,99.4,0.475,0.51,14.8
CLE,35.2,81.1,62.9,6.2,18.2,29.9,95.5,93.0,102.2,0.472,0.518,13.4
PHI,33.7,82.6,56.3,8.4,26.3,30.9,92.0,95.7,95.5,0.459,0.494,16.0
DET,39.6,87.1,54.6,11.4,32.4,31.3,110.3,99.0,110.7,0.52,0.561,13.3
HOU,39.3,88.5,47.9,13.8,40.6,33.3,108.8,101.4,107.1,0.521,0.553,13.0
NYK,38.2,88.3,58.8,10.0,29.5,34.3,104.6,99.6,104.5,0.49,0.529,12.4
LAL,35.1,84.8,60.2,7.8,24.6,32.3,97.3,95.6,101.6,0.46,0.509,12.5
NYK,35.1,82.0,62.3,6.8,19.7,29.8,91.9,91.2,99.9,0.47,0.508,14.0
MIN,37.7,85.5,66.5,7.2,19.1,31.2,101.1,96.5,104.2,0.483,0.526,15.1
MIN,36.4,83.2,68.3,5.0,14.9,29.3,97.8,94.4,102.9,0.468,0.517,13.7
GSW,38.6,88.2,56.9,10.4,31.3,32.9,106.3,100.3,105.2,0.497,0.54,13.2
MIL,36.0,82.2,63.2,6.7,18.9,29.3,95.5,91.8,103.0,0.479,0.519,14.1
PHI,36.2,84.0,56.5,9.3,27.5,31.8,97.4,97.9,98.8,0.487,0.519,14.8
CHA,33.2,80.2,66.7,4.0,13.5,28.7,87.0,91.1,95.2,0.439,0.483,13.9
