Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Tue Oct 29 2019,9:00p,Dallas Mavericks,109,Denver Nuggets,106,Box Score,,16605,Pepsi Center,
Tue Oct 29 2019,10:30p,Memphis Grizzlies,91,Los Angeles Lakers,120,Box Score,,18997,STAPLES Center,
Wed Oct 30 2019,7:00p,Chicago Bulls,111,Cleveland Cavaliers,117,Box Score,,17595,Rocket Mortgage Fieldhouse,
Wed Oct 30 2019,7:00p,New York Knicks,83,Orlando Magic,95,Box Score,,17456,Amway Center,
Wed Oct 30 2019,7:00p,Minnesota Timberwolves,95,Philadelphia 76ers,117,Box Score,,20204,Wells Fargo Center,
Wed Oct 30 2019,7:30p,Milwaukee Bucks,105,Boston Celtics,116,Box Score,,18624,TD Garden,
Wed Oct 30 2019,7:30p,Indiana Pacers,118,Brooklyn Nets,108,Box Score,,17083,Barclays Center,
Wed Oct 30 2019,7:30p,Detroit Pistons,113,Toronto Raptors,125,Box Score,,19800,Scotiabank Arena,
Wed Oct 30 2019,8:00p,Portland Trail Blazers,102,Oklahoma City Thunder,99,Box Score,,18203,Chesapeake Energy Arena,
Wed Oct 30 2019,8:00p,Houston Rockets,159,Washington Wizards,158,Box Score,,20476,Capital One Arena,
Wed Oct 30 2019,10:00p,Charlotte Hornets,118,Sacramento Kings,111,Box Score,,15416,Golden 1 Center,
Wed Oct 30 2019,10:00p,Los Angeles Clippers,96,Utah Jazz,110,Box Score,,18306,Vivint Smart Home Arena,
Wed Oct 30 2019,10:30p,Phoenix Suns,121,Golden State Warriors,110,Box Score,,18064,Chase Center,
Thu Oct 31 2019,7:00p,Miami Heat,106,Atlanta Hawks,97,Box Score,,16539,State Farm Arena,
Thu Oct 31 2019,9:30p,Denver Nuggets,107,New Orleans Pelicans,122,Box Score,,16613,Smoothie King Center,
Thu Oct 31 2019,10:30p,San Antonio Spurs,97,Los Angeles Clippers,103,Box Score,,19068,STAPLES Center,
Fri Nov 1 2019,7:00p,Houston Rockets,116,Brooklyn Nets,123,Box Score,,17732,Barclays Center,
Fri Nov 1 2019,7:00p,Cleveland Cavaliers,95,Indiana Pacers,102,Box Score,,16079,Bankers Life Fieldhouse,
Fri Nov 1 2019,7:00p,Milwaukee Bucks,123,Orlando Magic,91,Box Score,,15105,Amway Center,
Fri Nov 1 2019,7:30p,New York Knicks,102,Boston Celtics,104,Box Score,,18624,TD Garden,
Fri Nov 1 2019,8:00p,Detroit Pistons,106,Chicago Bulls,112,Box Score,,20671,United Center,
Fri Nov 1 2019,9:30p,Los Angeles Lakers,119,Dallas Mavericks,110,Box Score,OT,20358,American Airlines Center,
Fri Nov 1 2019,10:00p,Utah Jazz,101,Sacramento Kings,102,Box Score,,16273,Golden 1 Center,
Fri Nov 1 2019,10:30p,San Antonio Spurs,127,Golden State Warriors,110,Box Score,,18064,Chase Center,
Sat Nov 2 2019,5:00p,New Orleans Pelicans,104,Oklahoma City Thunder,115,Box Score,,18203,Chesapeake Energy Arena,
Sat Nov 2 2019,7:00p,Brooklyn Nets,109,Detroit Pistons,113,Box Score,,17222,Little Caesars Arena,
Sat Nov 2 2019,7:00p,Denver Nuggets,91,Orlando Magic,87,Box Score,,17025,Amway Center,
Sat Nov 2 2019,8:00p,Phoenix Suns,114,Memphis Grizzlies,105,Box Score,,14144,FedEx Forum,
