,Team,PTS,FG,FGA,2PA,3P,3PA,eFG%,Home/Away,ORtg,FTr,3PAr,TS%,FT/FGA,ORtg_opponent,FTr_opponent,3PAr_opponent,TS%_opponent,eFG%_opponent,FT/FGA_opponent
25,OKC,145.0,55.0,88.0,57.0,17.0,31.0,0.722,Away,132.9,0.227,0.352,0.749,0.205,123.7,0.34,0.32,0.605,0.546,0.299
26,BOS,145.0,49.0,87.0,50.0,21.0,37.0,0.684,Away,148.0,0.333,0.425,0.727,0.299,119.4,0.36,0.326,0.568,0.517,0.281
27,MIL,144.0,55.0,99.0,49.0,22.0,50.0,0.667,Away,135.2,0.162,0.505,0.679,0.121,108.9,0.327,0.385,0.488,0.438,0.24
28,CHO,144.0,53.0,84.0,47.0,20.0,37.0,0.75,Home,133.6,0.274,0.44,0.765,0.214,128.0,0.194,0.259,0.589,0.542,0.194
29,GSW,144.0,55.0,101.0,53.0,18.0,48.0,0.634,Away,132.9,0.198,0.475,0.656,0.158,104.3,0.386,0.25,0.549,0.5,0.284
30,CHI,144.0,54.0,85.0,51.0,19.0,34.0,0.747,Home,145.3,0.282,0.4,0.753,0.2,116.0,0.289,0.489,0.567,0.517,0.244
31,MIA,144.0,48.0,84.0,42.0,23.0,42.0,0.708,Home,145.7,0.345,0.5,0.744,0.298,116.3,0.212,0.447,0.619,0.6,0.153
32,BOS,144.0,56.0,91.0,47.0,23.0,44.0,0.742,Home,152.7,0.143,0.484,0.744,0.099,108.2,0.244,0.256,0.562,0.512,0.22
33,PHI,144.0,53.0,87.0,44.0,21.0,43.0,0.73,Home,137.2,0.241,0.494,0.748,0.195,108.6,0.276,0.345,0.584,0.546,0.218
34,SAS,144.0,51.0,91.0,64.0,13.0,27.0,0.632,Home,129.0,0.407,0.297,0.671,0.319,97.7,0.347,0.327,0.482,0.429,0.255
35,CLE,144.0,56.0,106.0,54.0,22.0,52.0,0.632,Home,134.4,0.113,0.491,0.647,0.094,92.4,0.258,0.404,0.499,0.466,0.18
36,ATL,143.0,53.0,96.0,66.0,15.0,30.0,0.63,Home,140.6,0.26,0.313,0.668,0.229,127.8,0.125,0.385,0.642,0.615,0.125
37,IND,143.0,53.0,90.0,53.0,15.0,37.0,0.672,Home,137.5,0.344,0.411,0.69,0.244,141.3,0.463,0.415,0.745,0.683,0.427
38,MIN,143.0,56.0,98.0,55.0,23.0,43.0,0.689,Away,143.0,0.082,0.439,0.704,0.082,118.0,0.2,0.324,0.516,0.476,0.171
39,GSW,143.0,54.0,121.0,62.0,19.0,59.0,0.525,Home,115.5,0.198,0.488,0.543,0.132,113.9,0.266,0.321,0.579,0.537,0.22
40,BRK,143.0,54.0,84.0,51.0,21.0,33.0,0.768,Home,139.8,0.19,0.393,0.785,0.167,110.5,0.301,0.398,0.601,0.566,0.229
41,LAL,143.0,47.0,81.0,48.0,17.0,33.0,0.685,Away,133.2,0.457,0.407,0.735,0.395,128.6,0.19,0.352,0.606,0.59,0.133
42,TOR,143.0,57.0,106.0,73.0,14.0,33.0,0.604,Away,130.0,0.151,0.311,0.633,0.142,90.9,0.149,0.457,0.499,0.468,0.128
43,CHO,143.0,48.0,103.0,53.0,20.0,50.0,0.563,Away,134.8,0.291,0.485,0.615,0.262,137.7,0.326,0.516,0.672,0.658,0.221
44,SAS,142.0,52.0,98.0,64.0,13.0,34.0,0.597,Away,125.1,0.296,0.347,0.641,0.255,118.1,0.311,0.427,0.572,0.529,0.243
