Rk,Season,Team,W,G,W,L,W/L%,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TS%,TOV%,ORB%,FTr,eFG%,TS%,TOV%,ORB%,FTr
39,2016-17,HOU,55,82,55,27,.671,5.77,0.08,5.84,100.0,114.7,109.0,.545,.583,13.3,24.6,.304,.519,.556,13.2,24.2,.250
40,2015-16,OKC,55,82,55,27,.671,7.28,-0.19,7.09,96.7,113.1,105.6,.524,.565,14.0,31.1,.292,.484,.524,11.7,24.0,.271
41,2014-15,MEM,55,82,55,27,.671,3.24,0.38,3.62,92.0,105.7,102.2,.489,.531,12.6,24.7,.276,.492,.526,14.5,24.7,.247
42,2014-15,SAS,55,82,55,27,.671,6.20,0.14,6.34,93.8,108.5,102.0,.517,.555,13.1,23.4,.256,.484,.521,13.3,22.7,.256
43,2010-11,OKC,55,82,55,27,.671,3.79,0.02,3.81,92.7,111.2,107.2,.501,.561,13.1,27.4,.363,.493,.535,12.9,26.4,.307
44,2022-23,PHI,54,82,54,28,.659,4.32,0.06,4.37,96.9,117.7,113.3,.563,.608,12.6,21.6,.300,.541,.579,13.0,22.8,.277
45,2018-19,DEN,54,82,54,28,.659,3.95,0.24,4.19,97.7,113.0,108.9,.527,.558,11.9,26.6,.232,.521,.555,12.3,22.0,.257
46,2013-14,HOU,54,82,54,28,.659,4.56,0.50,5.06,96.3,111.0,106.3,.531,.571,14.6,27.4,.386,.489,.527,12.5,25.9,.255
47,2013-14,MIA,54,82,54,28,.659,4.76,-0.61,4.15,91.2,110.9,105.8,.554,.590,14.6,20.6,.300,.511,.549,15.8,27.0,.283
48,2013-14,POR,54,82,54,28,.659,3.99,0.45,4.44,94.9,111.5,107.4,.504,.548,12.4,28.0,.270,.488,.526,11.0,25.3,.253
49,2012-13,NYK,54,82,54,28,.659,4.23,-0.50,3.73,89.8,111.1,106.3,.515,.550,11.7,25.6,.258,.508,.548,14.8,25.3,.286
50,2022-23,DEN,53,82,53,29,.646,3.33,-0.29,3.04,98.1,117.6,114.2,.573,.601,13.1,24.8,.259,.543,.577,12.2,23.6,.260
51,2021-22,GSW,53,82,53,29,.646,5.54,-0.02,5.52,98.4,112.5,106.9,.552,.582,13.5,22.8,.235,.509,.546,13.0,21.3,.265
52,2021-22,MIA,53,82,53,29,.646,4.45,-0.22,4.23,95.9,113.7,109.1,.547,.584,13.4,23.5,.252,.524,.562,13.8,22.0,.268
53,2019-20,TOR,53,72,53,19,.736,6.24,-0.26,5.97,100.9,111.1,105.0,.536,.574,13.1,21.3,.264,.502,.541,14.6,23.3,.263
54,2018-19,POR,53,82,53,29,.646,4.20,0.24,4.43,99.1,114.7,110.5,.528,.568,12.1,26.6,.258,.516,.552,11.0,22.1,.253
55,2018-19,HOU,53,82,53,29,.646,4.77,0.19,4.96,97.9,115.5,110.7,.542,.581,12.0,22.8,.279,.525,.562,13.4,25.6,.274
56,2016-17,BOS,53,82,53,29,.646,2.63,-0.39,2.25,96.8,111.2,108.4,.525,.567,12.2,21.2,.273,.503,.545,12.6,24.7,.290
57,2015-16,LAC,53,82,53,29,.646,4.28,-0.15,4.13,95.8,108.3,103.8,.524,.556,12.1,20.1,.318,.480,.523,13.8,26.2,.296
58,2014-15,CLE,53,82,53,29,.646,4.48,-0.40,4.08,92.3,111.1,106.3,.520,.557,13.4,26.8,.287,.502,.535,12.6,25.3,.238
59,2021-22,DAL,52,82,52,30,.634,3.30,-0.18,3.12,95.4,112.8,109.4,.538,.572,11.7,21.3,.249,.521,.554,12.2,22.0,.241
60,2020-21,UTA,52,72,52,20,.722,9.25,-0.29,8.97,98.5,117.6,108.3,.563,.597,12.7,24.5,.244,.507,.537,10.3,20.7,.207
61,2019-20,LAL,52,71,52,19,.732,5.79,0.49,6.28,100.9,112.0,106.3,.542,.573,13.3,24.5,.276,.515,.554,14.1,21.2,.263
62,2017-18,PHI,52,82,52,30,.634,4.50,-0.20,4.30,99.8,109.5,105.0,.535,.568,14.6,25.3,.263,.492,.532,12.6,21.4,.293
63,2010-11,ORL,52,82,52,30,.634,5.46,-0.54,4.92,91.2,107.9,102.0,.521,.554,14.3,26.1,.328,.475,.518,13.3,23.1,.295
