Rk,Season,Team,W,G,W,L,W/L%,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TS%,TOV%,ORB%,FTr,eFG%,TS%,TOV%,ORB%,FTr
168,2012-13,UTA,43,82,43,39,.524,-0.09,0.38,0.30,90.9,106.7,106.8,.492,.533,13.8,28.8,.281,.501,.543,14.0,26.8,.298
169,2010-11,HOU,43,82,43,39,.524,2.18,0.19,2.37,94.2,111.3,109.0,.503,.550,12.3,27.4,.299,.500,.543,12.6,27.3,.280
170,2022-23,MIN,42,82,42,40,.512,-0.04,-0.18,-0.22,101.0,113.7,113.8,.560,.592,13.6,21.5,.271,.540,.578,13.3,25.7,.293
171,2022-23,NOP,42,82,42,40,.512,1.89,-0.26,1.63,99.1,114.4,112.5,.543,.582,12.9,24.7,.279,.543,.580,13.4,22.6,.272
172,2021-22,LAC,42,82,42,40,.512,0.02,0.06,0.09,98.0,110.1,110.1,.531,.564,12.5,20.6,.224,.514,.546,12.0,25.6,.216
173,2020-21,POR,42,72,42,30,.583,1.79,0.01,1.81,98.4,117.8,116.0,.540,.577,9.9,23.0,.238,.546,.582,11.2,22.5,.258
174,2020-21,LAL,42,72,42,30,.583,2.79,-0.03,2.77,98.7,109.9,107.1,.536,.569,13.6,22.5,.271,.526,.559,13.7,20.3,.237
175,2020-21,DAL,42,72,42,30,.583,2.26,-0.01,2.26,97.3,115.4,113.0,.550,.582,11.1,21.1,.242,.534,.568,11.5,22.2,.259
176,2018-19,ORL,42,82,42,40,.512,0.71,-0.43,0.28,98.1,108.9,108.1,.518,.550,11.9,22.0,.216,.515,.550,11.8,20.3,.239
177,2018-19,BRK,42,82,42,40,.512,-0.07,-0.33,-0.40,100.8,109.6,109.7,.520,.556,13.0,23.8,.284,.512,.548,11.6,23.6,.247
178,2017-18,LAC,42,82,42,40,.512,0.04,0.11,0.15,98.7,110.3,110.2,.527,.564,13.2,23.5,.299,.520,.557,12.6,23.9,.259
179,2016-17,IND,42,82,42,40,.512,-0.22,-0.42,-0.64,95.9,108.6,108.8,.516,.558,12.8,21.2,.261,.512,.555,13.6,24.5,.286
180,2016-17,MIL,42,82,42,40,.512,-0.18,-0.26,-0.45,94.5,109.1,109.3,.527,.565,13.2,21.5,.274,.518,.557,13.6,24.6,.279
181,2015-16,CHI,42,82,42,40,.512,-1.48,0.01,-1.46,95.7,105.0,106.5,.487,.526,12.6,24.5,.240,.485,.520,10.7,25.1,.247
182,2015-16,DAL,42,82,42,40,.512,-0.30,0.29,-0.02,94.3,106.7,107.0,.502,.544,12.0,20.6,.265,.504,.540,12.8,23.8,.269
183,2015-16,MEM,42,82,42,40,.512,-2.24,0.11,-2.14,93.3,105.4,107.8,.477,.524,12.3,25.3,.295,.518,.563,15.2,24.9,.326
184,2011-12,IND,42,66,42,24,.636,3.30,-0.71,2.60,90.7,106.7,103.1,.474,.526,13.1,29.2,.321,.476,.518,14.1,27.7,.305
185,2010-11,NYK,42,82,42,40,.512,0.78,-0.30,0.48,95.6,110.9,110.1,.513,.561,12.6,24.2,.304,.511,.554,13.8,28.1,.315
186,2022-23,TOR,41,82,41,41,.500,1.48,0.12,1.59,97.1,115.5,114.0,.517,.555,10.3,27.8,.257,.565,.602,15.3,23.3,.280
187,2022-23,ATL,41,82,41,41,.500,0.29,0.02,0.32,100.7,116.6,116.3,.541,.579,11.2,25.1,.244,.552,.588,12.4,24.2,.257
188,2020-21,ATL,41,72,41,31,.569,2.32,-0.18,2.14,97.6,115.7,113.3,.539,.581,11.9,24.4,.278,.530,.566,11.1,22.2,.237
189,2020-21,NYK,41,72,41,31,.569,2.31,-0.18,2.13,95.9,110.6,108.2,.524,.559,11.9,21.9,.242,.509,.545,11.7,21.4,.257
190,2018-19,DET,41,82,41,41,.500,-0.24,-0.31,-0.56,97.4,109.0,109.2,.509,.544,12.3,24.8,.262,.526,.562,12.8,21.3,.279
191,2016-17,POR,41,82,41,41,.500,-0.52,0.30,-0.23,96.7,110.3,110.8,.520,.559,12.5,23.0,.275,.508,.554,11.6,23.2,.307
192,2016-17,CHI,41,82,41,41,.500,0.43,-0.39,0.03,95.3,107.4,107.0,.487,.530,12.3,27.0,.259,.507,.540,12.4,23.2,.219
193,2016-17,MIA,41,82,41,41,.500,1.06,-0.29,0.77,95.2,107.8,106.7,.512,.541,12.4,24.2,.251,.496,.540,12.6,23.6,.281
194,2015-16,HOU,41,82,41,41,.500,0.20,0.14,0.34,97.6,108.3,108.1,.516,.553,14.2,25.7,.352,.516,.554,14.7,27.2,.289
195,2015-16,WAS,41,82,41,41,.500,-0.50,0.00,-0.50,98.5,105.3,105.8,.511,.544,13.1,20.6,.263,.515,.555,14.6,22.3,.283
196,2014-15,MIL,41,82,41,41,.500,0.43,-0.52,-0.09,94.1,102.7,102.2,.499,.536,15.5,25.4,.258,.487,.528,15.9,26.7,.298
197,2012-13,BOS,41,81,41,40,.506,-0.22,-0.40,-0.62,91.7,103.1,103.3,.503,.542,14.1,20.1,.263,.482,.523,14.2,26.7,.292
198,2012-13,DAL,41,82,41,41,.500,-0.60,0.36,-0.24,94.1,105.9,106.5,.506,.544,13.0,21.8,.242,.492,.534,13.3,26.9,.302
199,2011-12,LAL,41,66,41,25,.621,1.42,0.54,1.96,90.5,106.0,104.4,.491,.534,14.2,29.1,.299,.476,.507,10.7,25.2,.213
200,2011-12,MEM,41,66,41,25,.621,2.02,0.42,2.43,90.8,104.0,101.8,.473,.515,13.6,29.8,.277,.485,.529,16.3,27.3,.297
201,2010-11,PHI,41,82,41,41,.500,1.50,-0.50,1.01,91.7,106.6,105.0,.494,.535,12.3,24.6,.273,.487,.532,13.5,25.5,.299
202,2022-23,CHI,40,82,40,42,.488,1.29,0.07,1.37,98.5,113.5,112.2,.550,.587,12.2,20.1,.251,.544,.578,13.5,22.2,.253
203,2022-23,OKC,40,82,40,42,.488,1.09,-0.12,0.96,101.1,115.2,114.2,.531,.570,11.2,24.7,.256,.547,.584,14.4,27.1,.288
204,2020-21,MIA,40,72,40,32,.556,0.03,-0.09,-0.06,96.6,111.2,111.2,.546,.581,13.1,19.4,.252,.542,.575,13.8,22.1,.234
205,2016-17,DEN,40,82,40,42,.488,0.51,0.19,0.70,98.3,113.2,112.7,.530,.568,13.2,27.3,.276,.532,.567,10.9,21.3,.248
206,2015-16,UTA,40,82,40,42,.488,1.79,0.05,1.84,91.0,105.9,103.9,.501,.540,14.2,25.9,.286,.495,.534,13.5,22.3,.281
207,2014-15,BOS,40,82,40,42,.488,0.16,-0.56,-0.40,95.8,104.7,104.5,.489,.523,12.5,24.7,.233,.494,.533,13.7,25.0,.275
208,2013-14,MIN,40,82,40,42,.488,2.67,0.43,3.10,97.3,108.9,106.2,.486,.535,12.2,27.4,.321,.518,.550,14.8,25.6,.233
209,2011-12,ATL,40,66,40,26,.606,3.44,-0.77,2.67,90.2,104.9,101.2,.500,.535,13.4,23.9,.259,.480,.517,14.4,25.6,.247
210,2011-12,LAC,40,66,40,26,.606,2.56,0.26,2.82,89.2,108.5,105.7,.502,.533,12.7,29.5,.287,.492,.537,14.2,26.8,.329
211,2010-11,PHO,40,82,40,42,.488,-0.89,0.43,-0.46,94.4,109.5,110.4,.522,.559,13.2,23.7,.283,.513,.551,13.1,28.4,.280
212,2020-21,GSW,39,72,39,33,.542,1.06,0.04,1.10,102.2,111.1,110.1,.551,.583,13.3,17.9,.239,.522,.562,13.1,23.4,.286
213,2018-19,CHO,39,82,39,43,.476,-1.10,-0.22,-1.32,98.7,111.4,112.5,.514,.554,10.9,21.7,.257,.538,.570,12.1,22.9,.227
214,2018-19,MIA,39,82,39,43,.476,-0.23,-0.22,-0.45,98.2,107.3,107.6,.515,.542,13.1,24.8,.247,.510,.547,12.7,22.4,.262
215,2018-19,SAC,39,82,39,43,.476,-1.12,0.31,-0.81,103.1,110.4,111.5,.524,.554,11.5,23.1,.244,.533,.569,13.6,24.5,.269
216,2017-18,DET,39,82,39,43,.476,-0.15,-0.11,-0.26,96.2,107.2,107.3,.512,.543,12.3,22.7,.227,.524,.556,13.7,21.5,.222
217,2014-15,PHO,39,82,39,43,.476,-0.90,0.52,-0.38,96.3,105.3,106.2,.501,.537,13.7,24.5,.251,.497,.539,14.0,26.5,.291
218,2011-12,BOS,39,66,39,27,.591,2.52,-0.26,2.26,90.4,101.0,98.2,.496,.535,14.7,19.7,.257,.452,.498,14.9,27.6,.285
219,2010-11,UTA,39,82,39,43,.476,-1.83,0.39,-1.44,91.0,108.1,110.1,.498,.544,13.5,27.0,.313,.505,.556,13.8,28.3,.354
220,2022-23,DAL,38,82,38,44,.463,0.07,-0.22,-0.14,96.6,116.8,116.7,.565,.599,11.4,18.0,.298,.549,.588,11.9,24.5,.290
221,2020-21,MEM,38,72,38,34,.528,1.03,0.04,1.07,100.4,112.0,111.0,.528,.560,11.6,24.2,.232,.535,.570,13.1,21.7,.249
222,2014-15,IND,38,82,38,44,.463,0.28,-0.51,-0.23,93.2,103.5,103.2,.484,.523,13.1,24.0,.266,.478,.521,12.0,22.1,.288
223,2014-15,BRK,38,82,38,44,.463,-2.88,-0.25,-3.13,92.7,104.4,107.4,.491,.529,13.0,23.9,.267,.506,.539,12.9,26.3,.253
224,2014-15,UTA,38,82,38,44,.463,0.22,0.49,0.71,90.4,105.1,104.9,.494,.531,14.6,29.1,.297,.491,.529,12.8,23.7,.267
225,2013-14,ATL,38,82,38,44,.463,-0.48,-0.40,-0.88,94.6,105.9,106.4,.515,.554,14.3,21.0,.266,.510,.545,14.0,25.6,.262
226,2012-13,MIL,38,82,38,44,.463,-1.50,-0.33,-1.83,94.7,103.6,105.2,.476,.510,12.7,27.9,.236,.492,.531,14.4,28.7,.265
227,2011-12,DEN,38,66,38,28,.576,2.88,0.29,3.16,94.2,109.2,106.2,.516,.556,14.1,27.7,.326,.508,.542,14.3,25.7,.243
228,2022-23,UTA,37,82,37,45,.451,-0.94,-0.09,-1.03,100.5,115.8,116.7,.547,.584,13.3,26.8,.265,.541,.577,10.9,24.8,.265
229,2021-22,NYK,37,82,37,45,.451,-0.12,0.11,-0.01,95.9,110.4,110.5,.513,.550,12.0,25.1,.280,.521,.557,11.7,21.2,.259
230,2018-19,LAL,37,82,37,45,.451,-1.72,0.39,-1.33,103.2,107.8,109.5,.527,.554,13.4,22.2,.257,.516,.552,12.2,23.6,.245
231,2016-17,DET,37,82,37,45,.451,-1.12,-0.17,-1.29,95.0,106.0,107.1,.492,.521,10.9,24.1,.218,.516,.553,12.1,18.8,.253
232,2014-15,MIA,37,82,37,45,.451,-2.60,-0.32,-2.92,90.9,103.9,106.7,.500,.540,14.5,23.2,.306,.505,.542,14.2,26.6,.292
233,2013-14,NYK,37,82,37,45,.451,-0.79,-0.61,-1.40,90.3,108.3,109.1,.505,.541,12.5,25.1,.248,.514,.558,14.0,25.7,.320
234,2011-12,ORL,37,66,37,29,.561,0.79,-0.33,0.46,89.0,105.0,104.1,.506,.533,14.5,26.5,.292,.488,.526,12.9,24.5,.246
235,2010-11,IND,37,82,37,45,.451,-1.07,-0.30,-1.38,94.7,104.8,106.0,.486,.533,14.1,25.9,.300,.487,.531,12.8,25.9,.315
236,2021-22,NOP,36,82,36,46,.439,-0.99,0.15,-0.84,97.2,112.0,113.0,.517,.557,12.5,26.9,.264,.547,.581,13.0,21.8,.250
237,2020-21,BOS,36,72,36,36,.500,1.46,-0.14,1.32,98.3,114.0,112.5,.543,.574,12.5,24.3,.234,.539,.577,12.8,21.9,.273
238,2018-19,MIN,36,82,36,46,.439,-1.50,0.48,-1.02,100.2,111.4,112.9,.511,.552,11.4,24.6,.267,.538,.571,12.9,25.1,.247
239,2017-18,CHO,36,82,36,46,.439,0.26,-0.19,0.07,98.4,109.4,109.1,.508,.549,11.4,22.2,.312,.532,.563,12.4,19.3,.208
240,2016-17,CHO,36,82,36,46,.439,0.20,-0.26,-0.07,95.7,108.8,108.6,.501,.547,10.7,19.9,.279,.523,.554,12.1,20.4,.211
241,2013-14,DEN,36,82,36,46,.439,-2.15,0.75,-1.40,98.1,106.0,108.2,.497,.536,14.0,27.5,.306,.500,.543,12.8,25.5,.306
242,2011-12,DAL,36,66,36,30,.545,0.95,0.83,1.78,91.4,103.3,102.3,.489,.527,13.4,23.4,.246,.479,.519,13.9,25.2,.270
243,2011-12,NYK,36,66,36,30,.545,3.20,-0.81,2.39,93.2,104.4,101.0,.492,.533,14.9,26.6,.306,.485,.526,15.9,26.3,.304
244,2011-12,UTA,36,66,36,30,.545,0.62,0.30,0.92,91.4,106.8,106.1,.481,.525,13.0,30.2,.302,.493,.538,13.8,26.2,.325
245,2010-11,GSW,36,82,36,46,.439,-2.33,0.33,-2.00,94.8,108.2,110.7,.510,.544,13.3,26.7,.241,.509,.557,14.5,30.7,.333
246,2022-23,IND,35,82,35,47,.427,-3.18,0.28,-2.91,101.1,114.6,117.7,.545,.581,13.0,23.4,.265,.554,.594,13.0,27.8,.287
247,2022-23,WAS,35,82,35,47,.427,-1.21,0.15,-1.06,98.6,114.4,115.6,.550,.585,12.7,22.6,.258,.540,.575,11.0,23.9,.244
248,2021-22,WAS,35,82,35,47,.427,-3.38,0.15,-3.23,97.0,111.1,114.5,.532,.568,12.1,20.9,.252,.529,.568,10.7,23.1,.251
249,2019-20,BRK,35,72,35,37,.486,-0.57,-0.44,-1.01,101.4,108.9,109.5,.520,.554,13.1,23.2,.267,.511,.546,11.0,22.2,.243
250,2019-20,POR,35,74,35,39,.473,-1.15,0.54,-0.61,100.7,113.7,114.8,.533,.570,11.2,22.4,.242,.530,.566,11.2,24.7,.270
251,2017-18,LAL,35,82,35,47,.427,-1.55,0.11,-1.44,100.3,106.5,108.0,.517,.548,13.8,23.6,.264,.514,.549,12.5,22.3,.250
252,2015-16,ORL,35,82,35,47,.427,-1.62,-0.06,-1.68,96.0,105.1,106.8,.500,.533,12.8,23.1,.232,.513,.551,13.8,23.5,.288
253,2011-12,PHI,35,66,35,31,.530,4.24,-0.65,3.59,89.7,103.9,99.2,.480,.511,10.9,24.4,.217,.460,.500,13.5,24.8,.255
254,2010-11,MIL,35,82,35,47,.427,-0.84,-0.17,-1.02,89.8,101.6,102.5,.467,.511,13.0,24.7,.287,.481,.528,14.7,25.2,.307
255,2022-23,ORL,34,82,34,48,.415,-2.56,0.17,-2.39,99.3,111.6,114.2,.532,.573,13.4,23.8,.290,.550,.587,13.1,22.3,.265
256,2021-22,SAS,34,82,34,48,.415,0.12,-0.10,0.02,100.0,112.4,112.3,.527,.556,11.1,23.7,.220,.532,.563,12.1,24.9,.229
257,2020-21,IND,34,72,34,38,.472,-0.04,-0.08,-0.13,101.6,112.4,112.4,.542,.575,11.9,20.2,.227,.531,.567,12.7,25.1,.258
258,2020-21,WAS,34,72,34,38,.472,-1.83,-0.01,-1.85,104.1,111.2,113.0,.531,.569,12.3,21.3,.288,.539,.576,12.5,22.4,.277
259,2019-20,MEM,34,73,34,39,.466,-1.07,0.16,-0.91,102.8,109.2,110.3,.528,.561,13.2,23.0,.240,.521,.561,12.7,22.2,.277
260,2019-20,PHO,34,73,34,39,.466,0.22,0.35,0.56,101.3,111.7,111.4,.532,.576,13.0,22.2,.271,.539,.578,13.7,21.2,.280
261,2016-17,NOP,34,82,34,48,.415,-2.10,0.41,-1.69,98.0,105.2,107.4,.504,.539,11.7,18.5,.256,.509,.542,12.4,23.2,.232
262,2013-14,NOP,34,82,34,48,.415,-2.71,0.73,-1.98,92.2,107.2,110.1,.495,.537,12.9,26.9,.286,.515,.558,13.6,26.2,.331
263,2012-13,PHI,34,82,34,48,.415,-3.34,-0.17,-3.51,91.0,102.0,105.7,.481,.509,12.5,24.9,.200,.495,.534,13.7,26.6,.264
264,2012-13,TOR,34,82,34,48,.415,-1.48,-0.48,-1.96,90.4,105.9,107.5,.488,.532,13.0,25.5,.274,.500,.544,13.6,26.6,.331
265,2011-12,HOU,34,66,34,32,.515,0.23,0.35,0.57,91.7,105.5,105.2,.492,.529,13.5,27.5,.235,.490,.531,13.8,26.6,.275
266,2010-11,CHA,34,82,34,48,.415,-4.00,-0.08,-4.08,89.6,103.4,107.8,.482,.528,14.1,25.7,.314,.500,.544,12.9,24.8,.294
267,2022-23,POR,33,82,33,49,.402,-4.01,0.05,-3.96,98.6,114.8,118.8,.549,.589,13.1,22.4,.289,.563,.598,12.1,25.1,.276
268,2021-22,LAL,33,82,33,49,.402,-3.05,-0.03,-3.08,100.1,110.3,113.3,.537,.567,12.8,21.1,.259,.540,.571,12.2,24.2,.257
269,2020-21,CHO,33,72,33,39,.458,-1.93,-0.01,-1.94,98.3,110.9,112.8,.532,.564,13.3,23.5,.238,.550,.576,13.2,24.3,.219
270,2020-21,SAS,33,72,33,39,.458,-1.74,0.15,-1.58,98.9,111.0,112.8,.517,.554,10.2,20.0,.243,.541,.570,11.8,22.7,.230
271,2019-20,ORL,33,73,33,40,.452,-1.01,0.09,-0.93,98.6,108.5,109.5,.506,.544,11.5,22.3,.256,.535,.566,13.2,20.9,.228
272,2018-19,DAL,33,82,33,49,.402,-1.28,0.42,-0.87,99.0,109.4,110.7,.519,.555,12.7,22.7,.291,.522,.557,11.6,22.5,.246
273,2018-19,MEM,33,82,33,49,.402,-2.60,0.51,-2.08,96.6,106.1,108.8,.508,.548,12.9,20.0,.272,.521,.563,13.9,22.4,.296
274,2018-19,NOP,33,82,33,49,.402,-1.33,0.23,-1.10,103.3,111.4,112.6,.529,.563,12.6,24.1,.254,.532,.566,11.6,23.2,.253
275,2016-17,DAL,33,82,33,49,.402,-2.93,0.40,-2.53,92.2,105.6,108.8,.505,.541,11.6,18.1,.225,.529,.568,14.4,22.4,.282
276,2015-16,DEN,33,82,33,49,.402,-3.10,0.29,-2.81,95.7,105.6,108.9,.489,.531,13.2,25.8,.282,.515,.554,12.6,22.7,.284
277,2015-16,MIL,33,82,33,49,.402,-4.18,0.20,-3.98,94.2,104.3,108.7,.499,.537,14.2,24.9,.276,.510,.551,14.2,26.9,.288
278,2015-16,SAC,33,82,33,49,.402,-2.48,0.16,-2.32,100.0,106.0,108.4,.510,.546,14.2,23.9,.295,.521,.557,14.0,25.1,.264
279,2014-15,CHO,33,82,33,49,.402,-3.17,-0.27,-3.44,93.0,100.1,103.5,.456,.498,11.2,22.1,.269,.487,.525,12.0,20.7,.244
280,2013-14,CLE,33,82,33,49,.402,-3.29,-0.57,-3.86,93.1,104.2,107.7,.479,.518,13.0,27.2,.268,.508,.545,13.0,24.2,.263
281,2012-13,POR,33,82,33,49,.402,-3.17,0.65,-2.53,91.4,105.8,109.2,.498,.536,13.9,25.3,.250,.512,.547,12.5,26.7,.248
282,2011-12,PHO,33,66,33,33,.500,-0.24,0.53,0.29,92.6,106.2,106.5,.499,.536,13.3,25.8,.257,.491,.530,13.1,28.3,.262
283,2019-20,SAS,32,71,32,39,.451,-1.11,0.46,-0.65,100.5,112.4,113.5,.531,.572,11.2,20.1,.262,.542,.576,11.7,20.8,.249
284,2018-19,WAS,32,82,32,50,.390,-2.90,-0.40,-3.30,101.4,111.1,113.9,.531,.567,12.3,21.3,.266,.546,.581,13.5,25.9,.255
285,2016-17,SAC,32,82,32,50,.390,-3.88,0.58,-3.29,94.9,107.3,111.3,.516,.556,13.7,21.0,.284,.528,.568,12.9,23.7,.291
286,2015-16,NYK,32,82,32,50,.390,-2.73,0.00,-2.74,93.4,104.6,107.6,.483,.527,12.6,23.7,.255,.487,.526,10.5,24.2,.271
287,2014-15,DET,32,82,32,50,.390,-1.00,-0.39,-1.39,92.8,105.3,106.4,.482,.515,12.3,27.7,.261,.502,.539,13.2,25.0,.249
288,2010-11,LAC,32,82,32,50,.390,-3.13,0.42,-2.71,92.8,105.3,108.7,.496,.535,15.1,28.4,.332,.499,.546,12.8,26.8,.324
289,2020-21,CHI,31,72,31,41,.431,-0.89,-0.05,-0.94,99.0,111.1,112.0,.547,.575,13.6,22.3,.197,.538,.572,11.6,19.7,.253
290,2020-21,NOP,31,72,31,41,.431,-0.29,0.10,-0.20,100.1,113.5,113.8,.537,.570,12.7,26.3,.293,.550,.583,11.9,20.0,.236
291,2020-21,SAC,31,72,31,41,.431,-3.68,0.23,-3.45,100.0,113.6,117.2,.549,.578,12.0,21.3,.248,.557,.591,12.1,25.0,.253
292,2019-20,SAC,31,72,31,41,.431,-2.04,0.46,-1.59,98.9,110.2,112.2,.534,.566,13.0,21.9,.230,.543,.583,13.6,21.6,.285
293,2016-17,MIN,31,82,31,51,.378,-1.11,0.47,-0.64,94.6,110.8,112.0,.511,.555,12.9,27.2,.287,.535,.571,13.2,24.1,.275
294,2016-17,NYK,31,82,31,51,.378,-3.67,-0.20,-3.87,96.0,107.7,111.5,.496,.534,12.4,26.6,.239,.511,.551,11.7,25.9,.278
295,2012-13,MIN,31,82,31,51,.378,-2.37,0.54,-1.83,92.8,102.9,105.4,.473,.516,13.8,27.4,.305,.511,.545,15.0,26.0,.248
296,2011-12,MIL,31,66,31,35,.470,0.27,-0.50,-0.23,93.7,105.5,105.2,.481,.521,12.9,27.7,.250,.489,.532,14.6,29.1,.281
297,2021-22,SAC,30,82,30,52,.366,-5.46,0.20,-5.26,99.8,109.9,115.3,.525,.561,12.5,21.3,.264,.551,.581,11.9,24.0,.226
298,2019-20,NOP,30,72,30,42,.417,-1.29,0.74,-0.55,103.7,110.7,111.9,.539,.568,13.9,24.2,.256,.532,.570,12.4,22.2,.268
299,2015-16,NOP,30,82,30,52,.366,-3.79,0.24,-3.56,96.8,105.6,109.5,.498,.537,12.3,21.2,.259,.523,.564,12.7,21.2,.287
300,2014-15,DEN,30,82,30,52,.366,-3.55,0.48,-3.07,96.1,104.5,108.2,.479,.518,12.7,26.6,.278,.504,.546,13.0,25.3,.320
301,2010-11,DET,30,82,30,52,.366,-3.60,-0.18,-3.78,89.2,107.7,111.7,.495,.533,12.5,27.4,.279,.526,.567,13.8,27.9,.306
302,2018-19,ATL,29,82,29,53,.354,-6.02,-0.04,-6.06,103.9,108.1,113.9,.522,.555,14.3,24.7,.255,.541,.580,12.8,23.6,.313
303,2017-18,NYK,29,82,29,53,.354,-3.56,0.03,-3.53,96.8,107.1,110.7,.510,.544,13.3,24.1,.216,.522,.559,12.2,23.3,.269
304,2016-17,ORL,29,82,29,53,.354,-6.57,-0.04,-6.61,96.8,103.7,110.5,.489,.524,12.1,21.6,.246,.523,.559,11.9,22.6,.263
305,2015-16,MIN,29,82,29,53,.354,-3.54,0.15,-3.38,95.2,106.5,110.1,.498,.549,13.9,24.3,.332,.524,.559,13.6,25.3,.265
306,2014-15,SAC,29,82,29,53,.354,-3.71,0.64,-3.07,95.4,105.3,109.2,.490,.542,14.8,26.5,.363,.507,.543,11.8,24.8,.268
307,2013-14,DET,29,82,29,53,.354,-3.66,-0.48,-4.13,94.9,105.9,109.7,.482,.514,12.9,31.4,.296,.520,.559,13.8,26.6,.288
308,2012-13,DET,29,82,29,53,.354,-3.99,-0.34,-4.33,90.8,103.8,108.1,.487,.521,14.3,28.3,.282,.505,.543,13.1,27.0,.274
309,2012-13,WAS,29,82,29,53,.354,-2.54,-0.25,-2.78,92.2,100.2,103.0,.475,.512,14.2,24.6,.261,.483,.522,13.7,25.4,.279
310,2017-18,BRK,28,82,28,54,.341,-3.74,0.07,-3.67,98.9,106.9,110.6,.514,.551,13.6,21.0,.260,.517,.553,11.0,23.0,.262
311,2016-17,PHI,28,82,28,54,.341,-5.70,-0.14,-5.83,98.5,103.2,108.9,.501,.539,14.9,22.4,.258,.512,.555,13.5,24.7,.303
312,2013-14,SAC,28,82,28,54,.341,-2.90,0.82,-2.08,94.4,105.7,108.8,.484,.532,13.9,27.8,.331,.512,.552,12.7,23.4,.318
313,2012-13,SAC,28,82,28,54,.341,-4.88,0.62,-4.26,93.6,106.2,111.4,.491,.532,13.4,26.6,.271,.517,.560,13.6,29.0,.290
314,2011-12,POR,28,66,28,38,.424,-0.62,0.41,-0.22,91.2,105.7,106.4,.488,.531,13.4,26.3,.263,.504,.540,14.1,27.2,.266
315,2022-23,CHO,27,82,27,55,.329,-6.24,0.35,-5.89,100.8,109.2,115.3,.516,.550,12.3,23.8,.261,.544,.582,12.5,24.5,.266
316,2021-22,POR,27,82,27,55,.329,-8.88,0.33,-8.55,98.3,107.8,116.9,.515,.550,13.0,22.9,.248,.559,.595,12.7,23.1,.286
317,2020-21,TOR,27,72,27,45,.375,-0.47,-0.07,-0.54,99.2,112.0,112.5,.529,.567,11.9,20.8,.241,.543,.584,14.4,23.7,.293
318,2017-18,CHI,27,82,27,55,.329,-7.04,0.20,-6.84,98.3,103.8,110.9,.497,.529,12.6,20.6,.216,.542,.575,12.4,19.4,.233
319,2017-18,SAC,27,82,27,55,.329,-6.99,0.39,-6.60,94.9,103.7,111.1,.502,.529,12.8,21.5,.194,.542,.576,13.5,22.4,.260
320,2013-14,LAL,27,82,27,55,.329,-6.29,0.96,-5.33,98.7,104.2,110.6,.505,.542,13.7,20.2,.263,.513,.546,12.4,29.0,.264
321,2012-13,NOH,27,82,27,55,.329,-3.87,0.75,-3.12,88.5,105.7,110.1,.489,.528,14.0,29.2,.248,.520,.557,13.1,25.6,.274
322,2016-17,LAL,26,82,26,56,.317,-6.88,0.58,-6.29,98.5,106.0,113.0,.501,.537,13.5,25.0,.259,.542,.577,13.0,24.2,.279
323,2011-12,MIN,26,66,26,40,.394,-2.20,0.37,-1.83,93.3,104.3,106.6,.477,.524,14.0,27.5,.306,.491,.527,12.2,27.0,.248
324,2021-22,IND,25,82,25,57,.305,-3.48,0.22,-3.26,98.0,112.6,116.1,.531,.564,12.7,25.5,.239,.552,.587,11.9,23.8,.256
325,2019-20,WAS,25,72,25,47,.347,-4.67,-0.57,-5.24,102.7,110.9,115.5,.523,.562,12.2,22.2,.270,.558,.596,13.9,24.7,.297
326,2017-18,ORL,25,82,25,57,.305,-4.82,-0.10,-4.92,98.1,105.2,110.1,.512,.545,13.3,20.0,.238,.525,.559,12.8,24.4,.243
327,2014-15,ORL,25,82,25,57,.305,-5.72,-0.15,-5.87,93.8,101.6,107.7,.494,.524,14.0,23.1,.230,.514,.551,13.6,24.0,.279
328,2013-14,BOS,25,82,25,57,.305,-4.46,-0.51,-4.97,93.3,102.9,107.7,.477,.517,14.2,27.4,.248,.505,.547,13.4,25.8,.299
329,2013-14,UTA,25,82,25,57,.305,-7.17,0.91,-6.27,91.4,103.5,111.3,.484,.523,13.9,25.5,.271,.518,.559,12.1,25.5,.293
330,2012-13,PHO,25,82,25,57,.305,-6.46,0.71,-5.75,93.4,101.2,108.1,.477,.512,14.3,27.0,.234,.512,.549,14.2,28.1,.274
331,2011-12,DET,25,66,25,41,.379,-4.79,-0.40,-5.19,89.2,101.0,106.3,.468,.510,15.0,28.1,.279,.500,.543,14.2,27.2,.295
332,2021-22,OKC,24,82,24,58,.293,-8.10,0.20,-7.90,98.5,104.6,112.8,.497,.530,12.5,21.8,.223,.533,.563,11.8,23.9,.220
333,2017-18,ATL,24,82,24,58,.293,-5.45,0.15,-5.30,98.3,105.0,110.6,.512,.547,14.1,21.1,.236,.536,.568,13.6,23.8,.237
334,2017-18,DAL,24,82,24,58,.293,-3.04,0.34,-2.70,95.6,106.3,109.5,.513,.544,11.6,18.0,.217,.532,.565,12.9,21.1,.255
335,2016-17,PHO,24,82,24,58,.293,-5.63,0.49,-5.14,100.3,106.6,112.2,.493,.538,13.4,26.0,.297,.525,.572,13.1,23.6,.338
336,2012-13,CLE,24,82,24,58,.293,-4.68,-0.19,-4.87,92.3,104.3,109.4,.473,.514,13.0,28.1,.265,.523,.561,14.4,27.4,.304
337,2010-11,NJN,24,82,24,58,.293,-6.24,-0.04,-6.28,89.9,103.1,109.9,.474,.517,13.4,26.1,.283,.503,.547,11.8,25.8,.320
