,Team,Date,PTS,Opp,FG,FGA,2PA,3P,3PA,Opponent_Points
102,SAS,2023-04-09,138,DAL,51,104,66,15,38,117
103,NOP,2023-04-05,138,MEM,44,88,49,21,39,131
104,NYK,2023-04-05,138,IND,52,100,54,18,46,129
105,SAC,2023-03-31,138,POR,54,88,49,19,39,114
106,MIA,2023-03-15,138,MEM,49,82,53,13,29,119
107,MIN,2023-03-04,138,SAC,48,80,41,20,39,134
108,IND,2023-02-23,138,BOS,49,94,45,22,49,142
109,ATL,2023-02-13,138,CHO,53,108,80,11,28,144
110,DET,2023-02-10,138,SAS,46,107,70,7,37,131
111,OKC,2023-02-10,138,POR,47,83,59,12,24,129
112,LAC,2023-01-26,138,SAS,52,89,51,18,38,100
113,WAS,2023-01-21,138,ORL,51,95,61,18,34,118
114,CHO,2023-01-06,138,MIL,53,102,54,20,48,109
115,SAS,2022-11-26,138,LAL,53,105,68,18,37,143
116,LAC,2022-04-10,138,OKC,54,97,62,18,35,88
117,MIN,2022-03-19,138,MIL,47,92,45,22,47,119
118,DEN,2022-03-06,138,NOP,47,87,54,10,33,130
119,MIN,2022-03-04,138,OKC,49,91,44,22,47,101
120,GSW,2022-01-14,138,CHI,53,94,52,19,42,96
121,BRK,2022-01-12,138,CHI,49,87,55,17,32,112
122,SAS,2021-12-23,138,LAL,46,95,56,18,39,110
123,MIN,2021-11-20,138,MEM,49,91,50,20,41,95
124,NYK,2021-10-20,138,BOS,51,105,60,17,45,134
125,MEM,2023-04-07,137,MIL,53,93,51,20,42,114
126,CHO,2023-03-28,137,OKC,52,94,59,14,35,134
127,NYK,2023-03-27,137,HOU,50,86,47,17,39,115
128,BOS,2023-03-26,137,SAS,52,91,47,18,44,93
129,DAL,2023-03-15,137,SAS,44,86,53,17,33,128
130,OKC,2023-03-07,137,GSW,50,94,57,17,37,128
131,PHI,2023-02-03,137,SAS,46,87,60,13,27,125
132,PHI,2023-01-25,137,BRK,42,82,44,18,38,133
133,ATL,2023-01-25,137,OKC,50,84,55,11,29,132
134,SAC,2022-11-30,137,IND,48,95,52,16,43,114
135,GSW,2022-11-27,137,MIN,50,87,40,20,47,114
136,SAC,2022-11-20,137,DET,47,85,50,12,35,129
137,DAL,2022-10-22,137,MEM,45,90,51,17,39,96
138,SAS,2022-10-21,137,IND,44,81,50,17,31,134
139,UTA,2022-04-06,137,OKC,49,84,48,15,36,101
140,MIL,2022-02-06,137,LAC,48,88,50,19,38,113
141,MIL,2022-02-05,137,POR,49,92,42,23,50,108
142,PHO,2021-12-19,137,CHO,54,95,54,20,41,106
143,UTA,2021-12-03,137,BOS,45,81,30,27,51,130
144,LAL,2021-11-26,137,SAC,51,102,58,15,44,141
145,MIA,2021-10-21,137,MIL,51,96,61,15,35,95
146,NYK,2023-04-09,136,IND,52,108,68,15,40,141
147,LAC,2023-04-08,136,POR,49,93,58,12,35,125
148,PHI,2023-04-07,136,ATL,51,102,80,11,22,131
149,GSW,2023-04-04,136,OKC,47,95,48,20,47,125
150,IND,2023-03-29,136,MIL,53,101,71,14,30,149
151,WAS,2023-03-24,136,SAS,51,85,55,15,30,124
152,MIN,2023-03-13,136,ATL,54,92,64,12,28,115
153,ATL,2023-02-24,136,CLE,50,85,57,15,28,119
154,NOP,2023-02-05,136,SAC,48,85,59,14,26,104
155,MEM,2023-01-16,136,PHO,52,98,61,16,37,106
156,POR,2023-01-14,136,DAL,49,88,47,17,41,119
157,SAC,2023-01-09,136,ORL,52,97,51,23,46,111
158,LAL,2023-01-07,136,SAC,50,82,61,9,21,134
159,BRK,2022-12-10,136,IND,52,100,72,9,28,133
160,MIL,2022-11-09,136,OKC,50,106,70,17,36,132
161,ATL,2022-10-28,136,DET,55,97,68,12,29,112
162,MIN,2022-04-01,136,DEN,43,86,46,19,40,130
163,ATL,2022-03-30,136,OKC,49,91,52,18,39,118
164,SAS,2022-02-11,136,ATL,50,90,58,18,32,121
165,DEN,2022-01-30,136,MIL,53,88,45,23,43,100
166,MIN,2022-01-23,136,BRK,48,92,60,14,32,125
167,POR,2022-01-03,136,ATL,47,89,48,18,41,131
168,MIL,2022-01-01,136,NOP,49,92,44,23,48,113
169,MIL,2021-12-30,136,ORL,45,91,58,13,33,118
170,UTA,2021-12-08,136,MIN,50,88,34,25,54,104
171,MEM,2021-11-15,136,HOU,52,96,55,16,41,102
172,SAS,2021-11-10,136,SAC,49,92,60,18,32,117
173,LAL,2023-04-04,135,UTA,48,96,62,12,34,133
174,SAC,2023-03-24,135,PHO,47,89,50,13,39,127
175,LAC,2023-03-05,135,MEM,45,85,56,12,29,129
176,GSW,2023-02-13,135,WAS,52,89,49,20,40,126
177,MIL,2023-01-29,135,NOP,53,96,53,17,43,110
178,DET,2023-01-11,135,MIN,48,80,48,17,32,118
179,SAC,2023-01-11,135,HOU,45,94,46,19,48,115
180,MEM,2023-01-11,135,SAS,52,101,79,14,22,129
181,POR,2023-01-02,135,DET,48,84,53,14,31,106
182,IND,2022-12-29,135,CLE,48,85,54,19,31,126
183,ORL,2022-12-14,135,ATL,47,93,57,16,36,124
184,OKC,2022-12-03,135,MIN,48,93,67,11,26,128
185,NYK,2022-11-13,135,OKC,48,97,66,10,31,145
186,POR,2022-10-24,135,DEN,48,83,48,16,35,110
187,WAS,2022-04-01,135,DAL,49,90,57,17,33,103
188,CHI,2022-03-31,135,LAC,50,102,73,10,29,130
189,MIL,2022-03-16,135,SAC,47,89,54,18,35,126
190,MEM,2022-03-15,135,IND,54,105,65,15,40,102
191,MIN,2022-03-05,135,POR,48,85,48,15,37,121
192,BOS,2022-02-15,135,PHI,46,82,37,25,45,87
193,UTA,2022-02-14,135,HOU,49,89,49,18,40,101
194,MEM,2022-02-08,135,LAC,53,103,77,9,26,109
195,MEM,2022-02-05,135,ORL,53,105,66,13,39,115
196,PHO,2022-01-16,135,DET,51,87,60,11,27,108
197,MIN,2022-01-07,135,OKC,50,90,49,17,41,105
198,WAS,2021-10-22,135,IND,49,94,56,19,38,134
199,PHI,2023-04-09,134,BRK,53,101,69,14,32,105
200,ATL,2023-04-05,134,WAS,43,84,54,13,30,116
201,LAL,2023-04-02,134,HOU,52,93,63,9,30,109
202,SAC,2023-04-02,134,SAS,49,103,59,11,44,142
203,OKC,2023-03-28,134,CHO,50,96,66,11,30,137
204,NYK,2023-03-20,134,MIN,48,85,57,14,28,140
205,LAC,2023-03-15,134,GSW,46,96,62,16,34,126
206,BOS,2023-03-11,134,ATL,52,95,53,20,42,125
207,IND,2023-03-09,134,HOU,48,100,55,18,45,125
208,MIL,2023-03-07,134,ORL,46,78,50,10,28,123
209,SAC,2023-03-04,134,MIN,49,89,62,14,27,138
210,DEN,2023-02-26,134,LAC,49,96,57,13,39,124
211,LAC,2023-02-14,134,GSW,49,92,56,17,36,124
212,LAC,2023-02-04,134,NYK,44,92,55,16,37,128
