,Team,Date,PTS,Opp,FG,FGA,2PA,3P,3PA,Opponent_Points
1140,LAL,2022-01-04,122,SAC,49,99,67,11,32,114
1141,MIN,2022-01-03,122,LAC,49,93,48,16,45,104
1142,BRK,2021-12-25,122,LAL,43,89,57,14,32,115
1143,IND,2021-12-16,122,DET,45,91,59,7,32,113
1144,IND,2021-12-08,122,NYK,46,86,59,10,27,102
1145,BOS,2021-11-12,122,MIL,47,96,55,12,41,113
1146,PHI,2021-10-30,122,ATL,46,86,48,12,38,94
1147,WAS,2021-10-28,122,ATL,46,99,65,13,34,111
1148,UTA,2021-10-28,122,HOU,41,85,39,16,46,91
1149,UTA,2021-10-26,122,DEN,44,85,46,12,39,110
1150,ATL,2021-10-25,122,DET,46,90,58,12,32,104
1151,IND,2021-10-20,122,CHO,42,90,43,17,47,123
1152,TOR,2023-04-09,121,MIL,48,95,62,11,33,105
1153,LAL,2023-04-07,121,PHO,45,92,56,18,36,107
1154,BOS,2023-04-07,121,TOR,45,81,37,15,44,102
1155,SAC,2023-04-04,121,NOP,46,91,49,17,42,103
1156,CHI,2023-03-31,121,CHO,45,88,57,13,31,91
1157,IND,2023-03-31,121,OKC,45,98,57,12,41,117
1158,HOU,2023-03-31,121,DET,38,83,52,11,31,115
1159,LAL,2023-03-29,121,CHI,45,86,66,7,20,110
1160,SAC,2023-03-25,121,UTA,44,95,52,16,43,113
1161,GSW,2023-03-20,121,HOU,44,88,40,17,48,108
1162,IND,2023-03-18,121,PHI,45,87,56,12,31,141
1163,PHI,2023-03-17,121,CHO,46,92,60,10,32,82
1164,OKC,2023-03-14,121,BRK,45,99,66,11,33,107
1165,IND,2023-03-11,121,DET,43,93,58,9,35,115
1166,NOP,2023-03-01,121,POR,46,89,64,9,25,110
1167,MEM,2023-02-28,121,LAL,51,112,81,6,31,109
1168,IND,2023-02-25,121,ORL,48,99,59,15,40,108
1169,CHO,2023-02-24,121,MIN,43,92,64,10,28,113
1170,DAL,2023-02-13,121,MIN,43,84,45,13,39,124
1171,HOU,2023-02-04,121,OKC,45,89,59,10,30,153
1172,POR,2023-02-04,121,CHI,44,87,44,14,43,129
1173,BRK,2023-01-30,121,LAL,45,95,54,16,41,104
1174,LAL,2023-01-28,121,BOS,47,105,63,12,42,125
1175,LAL,2023-01-22,121,POR,45,86,56,10,30,112
1176,MEM,2023-01-20,121,LAL,43,102,73,9,29,122
1177,BOS,2023-01-19,121,GSW,43,108,67,13,41,118
1178,NYK,2023-01-16,121,TOR,42,99,68,9,31,123
1179,ATL,2023-01-16,121,MIA,45,76,49,13,27,113
1180,LAC,2023-01-15,121,HOU,46,88,56,14,32,100
1181,MIN,2023-01-13,121,PHO,47,90,62,10,28,116
1182,MEM,2023-01-09,121,SAS,45,91,65,11,26,113
1183,BOS,2023-01-07,121,SAS,47,95,61,15,34,116
1184,SAS,2023-01-06,121,DET,45,81,57,9,24,109
1185,DEN,2023-01-06,121,CLE,43,81,46,17,35,108
1186,CHI,2023-01-04,121,BRK,43,81,61,8,20,112
1187,LAL,2023-01-02,121,CHO,45,93,63,10,30,115
1188,ATL,2022-12-30,121,LAL,48,101,63,11,38,130
1189,CHO,2022-12-29,121,OKC,46,84,52,10,32,113
1190,DET,2022-12-28,121,ORL,36,80,38,18,42,101
1191,NYK,2022-12-27,121,DAL,45,103,53,16,50,126
1192,BOS,2022-12-23,121,MIN,44,100,54,13,46,109
1193,POR,2022-12-19,121,OKC,44,88,51,16,37,123
1194,DET,2022-12-18,121,BRK,42,88,58,8,30,124
1195,UTA,2022-12-13,121,NOP,49,103,56,15,47,100
1196,DAL,2022-12-12,121,OKC,39,93,39,22,54,114
1197,IND,2022-12-09,121,WAS,43,85,44,18,41,111
1198,NYK,2022-12-09,121,CHO,41,93,59,13,34,102
1199,DEN,2022-12-08,121,POR,47,91,61,12,30,120
1200,MIN,2022-12-07,121,IND,44,93,70,8,23,115
1201,OKC,2022-12-05,121,ATL,43,95,61,12,34,114
1202,NOP,2022-12-04,121,DEN,41,81,55,11,26,106
1203,DAL,2022-12-03,121,NYK,43,100,39,24,61,100
1204,TOR,2022-12-03,121,ORL,47,84,55,9,29,108
1205,PHO,2022-12-02,121,HOU,45,85,48,17,37,122
1206,MIA,2022-11-30,121,BOS,47,90,50,18,40,134
1207,WAS,2022-11-27,121,BOS,44,82,54,7,28,130
1208,CHI,2022-11-21,121,BOS,46,89,60,14,29,107
1209,LAC,2022-11-21,121,UTA,47,91,67,9,24,114
1210,MEM,2022-11-18,121,OKC,39,93,54,14,39,110
1211,DET,2022-11-18,121,LAL,43,92,58,11,34,128
1212,OKC,2022-11-16,121,WAS,44,81,50,16,31,120
1213,BRK,2022-11-15,121,SAC,40,81,53,11,28,153
1214,ATL,2022-11-14,121,MIL,44,92,72,7,20,106
1215,PHI,2022-11-12,121,ATL,44,80,56,8,24,109
1216,WAS,2022-11-12,121,UTA,44,88,52,16,36,112
1217,NYK,2022-11-11,121,DET,42,94,54,10,40,112
1218,NOP,2022-11-05,121,ATL,47,108,85,7,23,124
1219,WAS,2022-11-02,121,PHI,45,78,57,5,21,111
1220,UTA,2022-10-31,121,MEM,42,89,42,19,47,105
1221,CLE,2022-10-30,121,NYK,41,89,39,23,50,108
1222,LAL,2022-10-30,121,DEN,46,96,66,13,30,110
1223,NOP,2022-10-23,121,UTA,48,102,75,8,27,122
1224,SAS,2022-04-07,121,MIN,43,89,61,10,28,127
1225,BOS,2022-04-07,121,MIL,43,87,37,21,50,127
1226,UTA,2022-04-05,121,MEM,40,96,58,12,38,115
1227,PHO,2022-04-05,121,LAL,50,102,63,14,39,110
1228,DET,2022-04-03,121,IND,43,99,58,21,41,117
1229,SAC,2022-03-30,121,HOU,44,95,69,7,26,118
1230,LAC,2022-03-29,121,UTA,41,83,47,15,36,115
1231,ATL,2022-03-25,121,GSW,46,89,52,14,37,110
1232,NYK,2022-03-23,121,CHO,43,83,38,20,45,106
1233,LAL,2022-03-23,121,PHI,50,97,67,11,30,126
1234,IND,2022-03-18,121,HOU,47,101,58,14,43,118
1235,UTA,2022-03-18,121,LAC,47,97,53,16,44,92
1236,CHO,2022-03-08,121,BRK,45,92,51,13,41,132
1237,PHI,2022-03-07,121,CHI,41,84,54,12,30,106
1238,POR,2022-03-05,121,MIN,40,85,47,16,38,135
1239,HOU,2022-02-16,121,PHO,42,97,53,13,44,124
1240,MEM,2022-02-15,121,NOP,47,94,60,10,34,109
1241,DEN,2022-02-14,121,ORL,42,88,48,16,40,111
1242,ATL,2022-02-11,121,SAS,47,103,60,14,43,136
1243,CHI,2022-02-09,121,CHO,46,82,49,16,33,109
1244,MIA,2022-02-07,121,WAS,43,76,44,18,32,100
1245,PHO,2022-02-01,121,BRK,42,76,45,11,31,111
1246,LAL,2022-01-30,121,ATL,47,87,52,15,35,129
1247,MIA,2022-01-28,121,LAC,40,85,51,15,34,114
1248,ATL,2022-01-26,121,SAC,48,90,54,12,36,104
1249,CHO,2022-01-21,121,OKC,45,99,50,17,49,98
1250,IND,2022-01-20,121,GSW,41,95,60,15,35,117
1251,ATL,2022-01-17,121,MIL,38,86,50,15,36,114
1252,PHO,2022-01-17,121,SAS,49,95,63,9,32,107
1253,BRK,2022-01-09,121,SAS,47,98,70,8,28,119
1254,DEN,2022-01-07,121,SAC,47,85,51,12,34,111
1255,MIL,2022-01-07,121,BRK,44,96,51,16,45,109
1256,IND,2022-01-05,121,BRK,41,82,43,13,39,129
1257,CHO,2022-01-03,121,WAS,50,104,66,14,38,124
1258,ATL,2021-12-31,121,CLE,43,97,59,16,38,118
1259,SAC,2021-12-19,121,SAS,46,91,66,14,25,114
1260,NYK,2021-12-07,121,SAS,43,91,53,18,38,109
1261,ATL,2021-12-06,121,MIN,40,90,41,25,49,110
1262,MIN,2021-11-27,121,PHI,48,96,60,14,36,120
1263,POR,2021-11-24,121,SAC,44,94,56,12,38,125
1264,LAL,2021-11-21,121,DET,45,92,61,10,31,116
1265,CHO,2021-11-19,121,IND,44,81,50,12,31,118
1266,CHI,2021-11-15,121,LAL,49,89,55,15,34,103
1267,TOR,2021-11-13,121,DET,44,87,53,13,34,127
1268,PHO,2021-11-06,121,ATL,45,88,45,14,43,117
1269,SAS,2021-10-26,121,LAL,48,108,72,13,36,125
1270,LAL,2021-10-24,121,MEM,45,84,54,16,30,118
1271,MIL,2021-10-23,121,SAS,44,83,48,15,35,111
1272,NYK,2021-10-22,121,ORL,44,88,34,24,54,96
1273,CLE,2021-10-20,121,MEM,47,93,55,14,38,132
1274,POR,2021-10-20,121,SAC,45,93,58,12,35,124
1275,GSW,2021-10-19,121,LAL,41,93,54,14,39,114
1276,BOS,2023-04-09,120,ATL,42,89,35,25,54,114
1277,TOR,2023-04-04,120,CHO,42,88,55,15,33,100
1278,SAC,2023-03-29,120,POR,42,92,44,18,48,80
1279,GSW,2023-03-28,120,NOP,43,82,42,18,40,109
1280,ATL,2023-03-28,120,CLE,41,89,62,12,27,118
1281,BOS,2023-03-24,120,IND,44,93,51,18,42,95
1282,GSW,2023-03-24,120,PHI,42,88,38,18,50,112
1283,NYK,2023-03-22,120,MIA,42,82,42,16,40,127
1284,SAC,2023-03-20,120,UTA,41,97,45,19,52,128
1285,PHO,2023-03-19,120,OKC,44,92,56,15,36,124
1286,SAS,2023-03-17,120,MEM,39,98,46,20,52,126
1287,CLE,2023-03-14,120,CHO,45,88,58,14,30,104
1288,DEN,2023-03-12,120,BRK,45,90,59,12,31,122
1289,PHI,2023-03-10,120,POR,43,83,53,11,30,119
1290,DEN,2023-03-10,120,SAS,44,90,55,13,35,128
1291,WAS,2023-03-08,120,ATL,47,83,54,12,29,122
1292,DAL,2023-03-07,120,UTA,42,89,44,19,45,116
1293,MIA,2023-03-03,120,NYK,39,81,56,12,25,122
1294,UTA,2023-02-23,120,OKC,42,100,52,13,48,119
1295,LAL,2023-02-15,120,NOP,44,83,46,10,37,102
1296,CHO,2023-02-15,120,SAS,43,96,61,14,35,110
1297,PHO,2023-02-14,120,SAC,50,88,66,7,22,109
1298,UTA,2023-02-11,120,NYK,45,88,56,9,32,126
1299,HOU,2023-02-06,120,SAC,44,88,56,13,32,140
1300,MIN,2023-02-03,120,ORL,40,87,43,16,44,127
1301,OKC,2023-01-30,120,GSW,46,93,69,11,24,128
1302,LAC,2023-01-28,120,ATL,42,80,41,19,39,113
1303,NYK,2023-01-26,120,BOS,44,96,58,13,38,117
1304,IND,2023-01-25,120,ORL,41,85,50,15,35,126
1305,MEM,2023-01-25,120,GSW,42,88,57,10,31,122
1306,UTA,2023-01-23,120,CHO,41,86,46,16,40,102
1307,BRK,2023-01-22,120,GSW,43,79,52,14,27,116
1308,GSW,2023-01-20,120,CLE,42,86,43,23,43,114
1309,PHI,2023-01-17,120,LAC,39,73,42,13,31,110
1310,CHO,2023-01-10,120,TOR,47,86,51,15,35,132
1311,OKC,2023-01-08,120,DAL,46,95,67,12,28,109
1312,ATL,2023-01-04,120,SAC,45,84,54,10,30,117
1313,PHI,2023-01-02,120,NOP,41,86,51,15,35,111
1314,DEN,2022-12-23,120,POR,47,81,60,10,21,107
1315,UTA,2022-12-22,120,WAS,42,86,51,16,35,112
1316,LAL,2022-12-21,120,SAC,42,84,60,11,24,134
1317,CHI,2022-12-14,120,NYK,46,84,56,9,28,128
1318,BRK,2022-12-09,120,ATL,45,83,53,13,30,116
1319,POR,2022-12-08,120,DEN,44,91,51,16,40,121
1320,GSW,2022-12-03,120,HOU,45,85,33,25,52,101
1321,MIA,2022-12-02,120,BOS,48,101,66,11,35,116
1322,DEN,2022-11-30,120,HOU,44,83,51,17,32,100
1323,HOU,2022-11-20,120,GSW,41,90,45,15,45,127
1324,WAS,2022-11-16,120,OKC,44,86,52,17,34,121
1325,SAC,2022-11-11,120,LAL,45,87,51,12,36,114
1326,CLE,2022-11-09,120,SAC,46,86,60,11,26,127
1327,NYK,2022-11-07,120,MIN,39,89,41,19,48,107
1328,LAL,2022-11-02,120,NOP,45,98,62,10,36,117
1329,CHO,2022-10-29,120,GSW,43,102,71,10,31,113
1330,WAS,2022-10-25,120,DET,44,85,52,10,33,99
1331,CHI,2022-10-24,120,BOS,42,87,66,10,21,102
1332,PHI,2022-10-24,120,IND,38,80,37,19,43,106
1333,ORL,2022-10-22,120,BOS,45,95,61,15,34,126
1334,SAS,2022-04-10,120,DAL,43,89,58,11,31,130
1335,MIN,2022-04-10,120,CHI,46,91,60,11,31,124
1336,IND,2022-04-09,120,PHI,41,78,55,10,23,133
1337,LAL,2022-04-08,120,OKC,41,82,51,9,31,101
1338,ORL,2022-04-05,120,CLE,47,93,58,16,35,115
1339,MIL,2022-03-31,120,BRK,40,89,48,12,41,119
1340,DAL,2022-03-30,120,CLE,46,88,46,16,42,112
1341,HOU,2022-03-28,120,SAS,38,92,43,20,49,123
1342,BRK,2022-03-23,120,MEM,43,87,62,9,25,132
1343,CLE,2022-03-21,120,LAL,45,86,47,14,39,131
1344,MIA,2022-03-18,120,OKC,46,95,44,18,51,108
1345,ATL,2022-03-18,120,MEM,45,91,63,13,28,105
1346,ORL,2022-03-17,120,DET,47,97,67,11,30,134
1347,OKC,2022-03-16,120,SAS,43,82,47,13,35,122
1348,CLE,2022-03-14,120,LAC,41,86,56,15,30,111
1349,NOP,2022-03-11,120,CHO,43,86,47,15,39,142
1350,BRK,2022-03-06,120,BOS,45,89,62,12,27,126
1351,BOS,2022-03-03,120,MEM,46,89,52,16,37,107
1352,MIL,2022-03-02,120,MIA,41,91,55,14,36,119
1353,PHO,2022-03-02,120,POR,40,80,44,14,36,90
1354,MIL,2022-02-17,120,PHI,42,95,51,14,44,123
1355,CHO,2022-02-15,120,MIN,42,102,69,8,33,126
1356,NOP,2022-02-14,120,TOR,45,77,42,16,35,90
1357,CHI,2022-02-14,120,SAS,46,88,64,10,24,109
1358,IND,2022-02-13,120,MIN,45,102,57,13,45,129
1359,CLE,2022-02-11,120,IND,43,81,57,9,24,113
1360,HOU,2022-02-10,120,TOR,43,82,44,16,38,139
1361,NOP,2022-02-06,120,HOU,41,77,48,12,29,107
1362,CHI,2022-02-03,120,TOR,43,90,61,12,29,127
1363,OKC,2022-02-02,120,DAL,41,86,49,17,37,114
1364,MEM,2022-02-02,120,NYK,44,102,63,16,39,108
1365,SAS,2022-02-01,120,GSW,46,83,50,16,33,124
1366,MIA,2022-01-29,120,TOR,45,110,60,16,50,124
1367,BRK,2022-01-15,120,NOP,46,84,57,12,27,105
1368,TOR,2022-01-02,120,NYK,41,86,52,13,34,105
1369,CHI,2022-01-01,120,WAS,41,84,50,17,34,119
1370,LAC,2022-01-01,120,BRK,42,86,50,14,36,116
1371,MIA,2021-12-31,120,HOU,40,86,53,14,33,110
1372,UTA,2021-12-31,120,MIN,37,78,49,11,29,108
1373,UTA,2021-12-29,120,POR,46,87,58,8,29,105
1374,UTA,2021-12-25,120,DAL,40,90,54,12,36,116
1375,DAL,2021-12-13,120,CHO,43,83,42,19,41,96
1376,DEN,2021-12-08,120,NOP,45,88,56,9,32,114
1377,DEN,2021-11-29,120,MIA,43,74,39,18,35,111
1378,WAS,2021-11-27,120,DAL,45,78,54,9,24,114
1379,PHI,2021-11-27,120,MIN,39,93,59,12,34,121
1380,MIL,2021-11-26,120,DEN,46,73,40,16,33,109
1381,PHO,2021-11-24,120,CLE,45,86,64,8,22,115
1382,MEM,2021-11-18,120,LAC,52,96,70,11,26,108
1383,UTA,2021-11-16,120,PHI,46,89,51,16,38,85
1384,ATL,2021-11-14,120,MIL,47,97,62,15,35,100
1385,BRK,2021-11-14,120,OKC,41,82,39,18,43,96
1386,BRK,2021-11-12,120,NOP,41,82,48,18,34,112
1387,LAL,2021-11-10,120,MIA,46,92,54,18,38,117
1388,LAC,2021-11-07,120,CHO,41,86,38,18,48,106
1389,GSW,2021-11-07,120,HOU,44,85,39,15,46,107
1390,CHO,2021-10-27,120,ORL,43,83,53,14,30,111
1391,MEM,2021-10-23,120,LAC,42,90,54,15,36,114
1392,LAC,2023-04-09,119,PHO,49,100,77,5,23,114
1393,GSW,2023-04-07,119,SAC,41,78,42,16,36,97
1394,PHO,2023-04-06,119,DEN,41,79,43,17,36,115
1395,SAC,2023-04-05,119,DAL,46,106,69,12,37,123
1396,MEM,2023-04-04,119,POR,42,87,39,18,48,109
1397,MIN,2023-03-27,119,SAC,44,86,62,9,24,115
1398,ATL,2023-03-26,119,MEM,45,98,67,7,31,123
1399,ORL,2023-03-26,119,BRK,45,85,63,7,22,106
1400,NOP,2023-03-21,119,SAS,45,81,57,10,24,84
1401,GSW,2023-03-18,119,MEM,39,91,56,13,35,133
1402,GSW,2023-03-17,119,ATL,47,98,58,11,40,127
1403,DEN,2023-03-16,119,DET,47,89,65,8,24,100
1404,MEM,2023-03-15,119,MIA,46,91,45,18,46,138
1405,MIA,2023-03-13,119,UTA,37,79,45,14,34,115
1406,UTA,2023-03-11,119,CHO,46,103,71,9,32,111
1407,CHI,2023-03-11,119,HOU,44,86,54,15,32,111
1408,PHO,2023-03-11,119,SAC,44,89,45,13,44,128
1409,POR,2023-03-10,119,PHI,42,80,44,15,36,120
1410,MIA,2023-03-10,119,CLE,42,82,53,14,29,115
1411,WAS,2023-03-07,119,DET,47,81,56,12,25,117
1412,UTA,2023-03-05,119,OKC,43,88,51,11,37,129
1413,ORL,2023-03-05,119,POR,42,84,53,11,31,122
1414,WAS,2023-03-02,119,TOR,43,84,54,14,30,108
1415,PHI,2023-03-01,119,MIA,41,83,44,15,39,96
1416,WAS,2023-02-28,119,ATL,48,97,76,6,21,116
1417,CLE,2023-02-24,119,ATL,40,88,53,13,35,136
1418,OKC,2023-02-23,119,UTA,45,112,75,8,37,120
1419,TOR,2023-02-12,119,DET,42,87,57,11,30,118
1420,BOS,2023-02-12,119,MEM,39,88,37,21,51,109
1421,DEN,2023-02-11,119,CHO,50,99,76,5,23,105
1422,MIL,2023-02-10,119,LAC,45,90,51,17,39,106
1423,PHI,2023-02-10,119,NYK,44,84,46,14,38,108
1424,ORL,2023-02-05,119,CHO,42,91,68,8,23,113
1425,GSW,2023-02-04,119,DAL,45,82,47,14,35,113
1426,MIN,2023-02-01,119,GSW,46,106,56,14,50,114
1427,SAC,2023-02-01,119,SAS,48,90,63,8,27,109
1428,ORL,2023-01-30,119,PHI,42,99,70,11,29,109
1429,DEN,2023-01-28,119,PHI,44,81,47,14,34,126
1430,HOU,2023-01-23,119,MIN,44,88,58,11,30,114
1431,IND,2023-01-16,119,MIL,43,84,44,19,40,132
1432,DEN,2023-01-15,119,ORL,48,89,50,13,39,116
1433,SAS,2023-01-15,119,SAC,48,93,67,10,26,132
1434,DAL,2023-01-14,119,POR,43,82,36,22,46,136
1435,CLE,2023-01-12,119,POR,44,89,67,7,22,113
1436,DAL,2023-01-12,119,LAL,48,96,54,14,42,115
1437,NYK,2023-01-11,119,IND,38,84,42,15,42,113
1438,GSW,2023-01-04,119,DET,45,87,47,15,40,122
1439,NOP,2023-01-04,119,HOU,41,89,51,14,38,108
1440,MIA,2022-12-30,119,DEN,39,87,52,14,35,124
1441,WAS,2022-12-30,119,ORL,42,75,40,15,35,100
1442,MEM,2022-12-29,119,TOR,48,95,66,13,29,106
1443,NOP,2022-12-28,119,MIN,39,81,58,11,23,118
1444,CHI,2022-12-28,119,MIL,42,92,69,9,23,113
1445,PHI,2022-12-25,119,NYK,39,77,38,18,39,112
1446,PHI,2022-12-23,119,LAC,47,88,59,12,29,114
1447,NOP,2022-12-19,119,MIL,42,99,54,18,45,128
1448,SAC,2022-12-19,119,CHO,45,95,62,12,33,125
1449,DEN,2022-12-18,119,CHO,43,94,61,11,33,115
1450,LAL,2022-12-18,119,WAS,46,92,65,11,27,117
1451,BRK,2022-12-16,119,TOR,46,76,50,9,26,116
1452,GSW,2022-12-14,119,IND,40,86,53,14,33,125
1453,LAC,2022-12-05,119,CHO,45,93,57,15,36,117
1454,WAS,2022-12-04,119,LAL,49,105,66,10,39,130
1455,IND,2022-12-02,119,UTA,40,92,58,12,34,139
1456,GSW,2022-12-02,119,CHI,42,87,37,20,50,111
1457,OKC,2022-11-30,119,SAS,48,94,67,9,27,111
1458,CHI,2022-11-25,119,OKC,44,101,68,12,33,123
1459,OKC,2022-11-21,119,NYK,43,88,64,8,24,129
1460,MIL,2022-11-21,119,POR,47,86,58,9,28,111
1461,LAC,2022-11-19,119,SAS,44,81,41,21,40,97
1462,GSW,2022-11-16,119,PHO,42,92,50,18,42,130
1463,NOP,2022-11-12,119,HOU,42,86,57,8,29,106
1464,IND,2022-11-09,119,DEN,45,96,54,14,42,122
1465,ATL,2022-11-09,119,UTA,51,109,81,8,28,125
1466,LAC,2022-11-07,119,CLE,40,79,41,17,38,117
1467,CHI,2022-11-04,119,BOS,43,83,55,11,28,123
1468,SAC,2022-10-29,119,MIA,42,76,45,14,31,113
1469,MIL,2022-10-28,119,NYK,42,109,64,13,45,108
1470,TOR,2022-10-26,119,PHI,46,84,47,16,37,109
1471,MIA,2022-10-26,119,POR,44,87,49,15,38,98
1472,TOR,2022-04-07,119,PHI,45,91,58,15,33,114
1473,LAC,2022-04-03,119,NOP,45,95,51,21,44,100
1474,CLE,2022-04-02,119,NYK,44,81,47,15,34,101
1475,MIL,2022-04-01,119,LAC,50,94,69,8,25,153
1476,BRK,2022-03-31,119,MIL,45,97,60,18,37,120
1477,CHO,2022-03-27,119,BRK,42,98,66,17,32,110
1478,POR,2022-03-21,119,DET,37,88,60,8,28,115
1479,MIL,2022-03-19,119,MIN,43,97,45,19,52,138
1480,LAL,2022-03-19,119,WAS,48,91,56,13,35,127
1481,CLE,2022-03-18,119,DEN,44,98,61,14,37,116
1482,IND,2022-03-12,119,SAS,45,92,56,14,36,108
1483,TOR,2022-03-09,119,SAS,41,85,55,11,30,104
1484,CLE,2022-03-04,119,PHI,44,82,54,10,28,125
1485,MIA,2022-03-02,119,MIL,44,97,53,21,44,120
1486,CHO,2022-03-02,119,CLE,43,85,47,17,38,98
1487,OKC,2022-03-02,119,DEN,44,87,58,16,29,107
1488,ORL,2022-02-28,119,IND,45,96,59,12,37,103
1489,ORL,2022-02-25,119,HOU,42,83,47,13,36,111
1490,MIN,2022-02-24,119,MEM,43,93,51,16,42,114
1491,MEM,2022-02-16,119,POR,37,85,55,11,30,123
1492,IND,2022-02-15,119,MIL,47,93,52,17,41,128
1493,LAC,2022-02-14,119,GSW,48,85,51,15,34,104
1494,DET,2022-02-11,119,CHO,48,102,67,12,35,141
1495,MIN,2022-02-09,119,SAC,44,98,52,16,46,132
1496,PHI,2022-02-06,119,CHI,45,84,60,12,24,108
1497,ORL,2022-02-02,119,IND,42,95,60,11,35,118
1498,MEM,2022-01-31,119,PHI,47,102,72,6,30,122
1499,ORL,2022-01-28,119,DET,41,83,58,12,25,103
1500,MEM,2022-01-28,119,UTA,46,82,59,9,23,109
1501,BRK,2022-01-19,119,WAS,47,89,64,8,25,118
1502,MEM,2022-01-17,119,CHI,47,92,67,10,25,106
1503,MIN,2022-01-16,119,GSW,45,91,48,16,43,99
1504,BOS,2022-01-12,119,IND,40,78,40,18,38,100
1505,LAL,2022-01-09,119,MEM,45,97,64,14,33,127
1506,SAS,2022-01-09,119,BRK,46,107,75,13,32,121
1507,PHI,2022-01-07,119,SAS,45,87,64,8,23,100
1508,WAS,2022-01-01,119,CHI,46,87,60,6,27,120
1509,MIA,2021-12-28,119,WAS,41,92,58,16,34,112
1510,TOR,2021-12-18,119,GSW,45,90,52,14,38,100
1511,CLE,2021-12-18,119,MIL,45,90,45,16,45,90
1512,SAC,2021-12-15,119,WAS,45,82,56,8,26,105
1513,WAS,2021-12-08,119,DET,42,88,56,12,32,116
1514,LAC,2021-12-03,119,LAL,41,81,46,16,35,115
1515,CHI,2021-12-02,119,NYK,44,89,60,11,29,115
1516,CHO,2021-11-29,119,CHI,42,88,49,18,39,133
1517,POR,2021-11-23,119,DEN,45,88,49,15,39,100
1518,MEM,2021-11-22,119,UTA,42,95,60,13,35,118
1519,GSW,2021-11-21,119,TOR,39,79,34,22,45,104
1520,UTA,2021-11-18,119,TOR,44,80,34,19,46,103
1521,PHO,2021-11-12,119,MEM,46,94,57,18,37,94
1522,GSW,2021-11-12,119,CHI,45,93,47,15,46,93
1523,PHO,2021-11-10,119,POR,49,94,66,11,28,109
1524,UTA,2021-11-02,119,SAC,43,98,50,14,48,113
1525,LAL,2021-11-02,119,HOU,49,93,68,6,25,117
1526,MIL,2021-10-25,119,IND,41,85,53,11,32,109
1527,GSW,2021-10-24,119,SAC,43,97,60,13,37,107
1528,UTA,2023-04-08,118,DEN,44,100,65,11,35,114
1529,CLE,2023-04-06,118,ORL,46,88,50,18,38,94
1530,LAL,2023-04-05,118,LAC,45,89,60,12,29,125
1531,MIA,2023-04-04,118,DET,41,80,44,13,36,105
1532,OKC,2023-04-02,118,PHO,36,88,56,11,32,128
1533,NYK,2023-04-02,118,WAS,46,88,56,13,32,109
1534,CLE,2023-03-28,118,ATL,47,93,68,9,25,120
1535,CHI,2023-03-26,118,LAL,47,87,56,14,31,108
1536,OKC,2023-03-26,118,POR,41,94,59,12,35,112
1537,TOR,2023-03-24,118,DET,41,92,55,13,37,97
1538,DEN,2023-03-22,118,WAS,42,83,51,15,32,104
1539,IND,2023-03-22,118,TOR,43,77,56,11,21,114
1540,ATL,2023-03-19,118,SAS,48,101,79,5,22,126
1541,MIL,2023-03-19,118,TOR,43,82,37,16,45,111
1542,WAS,2023-03-18,118,SAC,41,91,55,13,36,132
1543,UTA,2023-03-18,118,BOS,42,97,56,17,41,117
1544,PHI,2023-03-15,118,CLE,39,75,39,17,36,109
1545,MIL,2023-03-09,118,BRK,44,104,54,19,50,113
1546,BRK,2023-03-07,118,HOU,40,81,41,15,40,96
1547,DEN,2023-03-06,118,TOR,43,86,53,13,33,113
1548,CLE,2023-03-06,118,BOS,43,96,62,12,34,114
1549,BRK,2023-03-01,118,NYK,42,90,51,15,39,142
1550,MIL,2023-02-28,118,BRK,50,102,65,14,37,104
1551,CLE,2023-02-26,118,TOR,44,84,48,18,36,93
1552,UTA,2023-02-25,118,SAS,43,92,64,10,28,102
1553,PHI,2023-02-15,118,CLE,39,78,51,13,27,112
1554,DEN,2023-02-15,118,DAL,48,84,53,11,31,109
1555,DET,2023-02-12,118,TOR,40,79,45,13,34,119
1556,CLE,2023-02-10,118,NOP,48,85,57,10,28,107
1557,UTA,2023-02-08,118,MIN,44,105,71,12,34,143
1558,WAS,2023-02-08,118,CHO,44,87,50,15,37,104
1559,DET,2023-02-03,118,CHO,44,86,54,14,32,112
1560,SAC,2023-01-30,118,MIN,47,99,69,9,30,111
1561,SAS,2023-01-28,118,PHO,48,109,80,10,29,128
1562,ATL,2023-01-21,118,CHO,45,83,58,11,25,122
1563,ORL,2023-01-21,118,WAS,42,90,56,14,34,138
1564,SAC,2023-01-20,118,OKC,41,87,49,12,38,113
1565,GSW,2023-01-19,118,BOS,40,100,48,18,52,121
1566,MIN,2023-01-18,118,DEN,42,81,49,12,32,122
1567,WAS,2023-01-16,118,GSW,42,86,51,14,35,127
1568,CHO,2023-01-16,118,BOS,41,90,59,13,31,130
1569,GSW,2023-01-15,118,CHI,41,83,32,21,51,132
1570,PHI,2023-01-14,118,UTA,40,89,50,17,39,117
1571,MIN,2023-01-11,118,DET,43,88,55,16,33,135
1572,UTA,2023-01-08,118,MEM,45,88,56,10,32,123
1573,UTA,2023-01-07,118,CHI,46,93,52,12,41,126
1574,WAS,2023-01-01,118,MIL,50,94,67,7,27,95
1575,MEM,2023-01-01,118,SAC,46,100,68,10,32,108
1576,GSW,2022-12-30,118,POR,42,91,48,17,43,112
1577,DET,2022-12-30,118,CHI,41,86,47,17,39,132
