Rk,Team,Date,eFG%,,Opp,Result,ORtg,FTr,3PAr,TS%,eFG%,FT/FGA,ORtg,FTr,3PAr,TS%,eFG%,FT/FGA
48,TOR,2022-02-04,.673,,ATL,W 125-114,131.5,.222,.333,.703,.673,.198,119.9,.226,.312,.558,.511,.204
49,POR,2022-01-28,.673,@,HOU,W 125-110,124.9,.247,.481,.696,.673,.198,110.0,.392,.519,.594,.544,.304
50,UTA,2022-04-06,.673,,OKC,W 137-101,147.4,.381,.429,.698,.673,.286,108.6,.189,.411,.518,.500,.122
51,PHI,2022-04-05,.672,@,IND,W 131-122,129.3,.207,.460,.690,.672,.161,120.4,.221,.421,.585,.537,.211
52,MIN,2022-03-14,.672,@,SAS,W 149-139,134.5,.356,.367,.716,.672,.311,125.5,.268,.361,.641,.603,.227
53,ATL,2022-02-08,.672,,IND,W 133-112,135.1,.178,.367,.685,.672,.133,113.8,.355,.333,.521,.452,.301
54,BRK,2022-03-08,.671,@,CHO,W 132-121,127.4,.354,.427,.696,.671,.268,116.8,.239,.446,.595,.560,.196
55,CHI,2022-03-03,.670,@,ATL,L 124-130,132.1,.080,.295,.681,.670,.068,138.4,.333,.476,.675,.631,.286
56,IND,2021-11-01,.670,,SAS,W 131-118,131.2,.132,.418,.680,.670,.099,118.2,.157,.315,.620,.607,.112
57,LAL,2022-02-09,.669,@,POR,L 105-107,109.7,.176,.500,.659,.669,.081,111.8,.180,.360,.557,.528,.146
58,UTA,2021-11-18,.669,,TOR,W 119-103,123.9,.163,.575,.694,.669,.150,107.2,.181,.404,.507,.468,.160
59,SAS,2022-04-01,.667,,POR,W 130-111,133.6,.346,.457,.697,.667,.272,114.0,.217,.380,.551,.527,.152
60,WAS,2021-12-23,.667,@,NYK,W 124-117,132.8,.427,.493,.696,.667,.320,125.3,.247,.452,.567,.522,.215
61,GSW,2022-01-14,.665,@,CHI,W 138-96,142.6,.181,.447,.680,.665,.138,99.2,.207,.437,.506,.483,.138
62,UTA,2022-02-04,.665,,BRK,W 125-102,130.6,.165,.447,.686,.665,.141,106.6,.111,.343,.491,.475,.081
63,LAL,2021-12-31,.665,,POR,W 139-106,141.2,.353,.482,.708,.665,.306,107.7,.265,.412,.465,.412,.216
64,GSW,2022-01-27,.665,,MIN,W 124-115,123.3,.256,.439,.680,.665,.183,114.3,.284,.463,.538,.495,.221
65,MIA,2021-12-08,.662,,MIL,W 113-104,115.5,.156,.610,.687,.662,.143,106.3,.318,.459,.537,.494,.235
66,ATL,2022-01-21,.662,,MIA,W 110-108,123.0,.353,.485,.700,.662,.294,120.7,.141,.471,.598,.571,.129
67,CLE,2021-12-01,.662,@,MIA,W 111-85,123.3,.338,.456,.710,.662,.309,94.4,.153,.435,.468,.447,.106
68,BOS,2022-03-27,.661,,MIN,W 134-112,137.0,.241,.448,.696,.661,.218,114.5,.143,.381,.627,.619,.095
69,BRK,2022-01-12,.661,@,CHI,W 138-112,139.2,.322,.368,.695,.661,.264,113.0,.383,.370,.592,.537,.309
70,IND,2022-03-20,.661,,POR,W 129-98,137.8,.250,.417,.692,.661,.214,104.7,.222,.407,.551,.525,.160
71,BRK,2022-03-10,.659,@,PHI,W 129-100,129.1,.187,.440,.655,.659,.099,100.1,.323,.387,.471,.398,.280
72,MIN,2022-03-04,.659,@,OKC,W 138-101,127.6,.253,.516,.682,.659,.198,93.4,.244,.407,.530,.483,.209
73,DAL,2022-04-10,.659,,SAS,W 130-120,132.1,.271,.424,.683,.659,.212,121.9,.258,.348,.605,.545,.258
74,HOU,2022-04-03,.659,,MIN,L 132-139,123.2,.341,.471,.675,.659,.235,129.7,.291,.477,.716,.692,.233
75,CHI,2022-02-09,.659,@,CHO,W 121-109,125.4,.232,.402,.670,.659,.159,112.9,.247,.462,.529,.500,.172
76,LAC,2022-01-17,.659,,IND,W 139-133,139.6,.439,.439,.710,.659,.378,133.6,.237,.340,.621,.582,.206
77,POR,2021-11-15,.659,,TOR,W 118-113,127.7,.171,.439,.669,.659,.122,122.3,.202,.371,.583,.545,.180
78,IND,2021-11-13,.659,,PHI,W 118-113,124.4,.183,.341,.666,.659,.122,119.2,.326,.258,.555,.494,.281
